metro_name,CBSA,total_units_2010,highrise_units_2010,total_units_2024,highrise_units_2024,highrise_growth,highrise_pct_growth,lat,lon
"Milledgeville, GA Micro Area",33300,24904.0,376.0,20302,609,233.0,62.0,33.06958711851905,-83.2499983481221
"Cornelia, GA Micro Area",18460,17851.0,15.0,19071,247,232.0,1546.7,34.63057607509983,-83.5304645245134
"Charleston-Mattoon, IL Micro Area",16660,28294.0,1376.0,22681,1608,232.0,16.9,39.52024522638611,-88.22185505100072
"Ashland, OH Micro Area",11740,22100.0,411.0,22568,643,232.0,56.4,40.84579792417854,-82.27041772874206
"Mountain Home, AR Micro Area",34260,22256.0,313.0,22883,542,229.0,73.2,36.286819322225,-92.33693071963118
"Huntington, IN Micro Area",26540,15844.0,289.0,16340,514,225.0,77.9,40.828938587467675,-85.48813151105576
"Crossville, TN Micro Area",18900,27228.0,199.0,31455,424,225.0,113.1,35.95042976288446,-84.99841849466573
"Big Spring, TX Micro Area",13700,13245.0,661.0,14048,885,224.0,33.9,32.30634971411398,-101.43553502974883
"Eagle Pass, TX Metro Area",20580,17122.0,191.0,20445,415,224.0,117.3,28.742487080909715,-100.31441014496218
"Owosso, MI Micro Area",37020,30424.0,530.0,30354,750,220.0,41.5,42.953607637151684,-84.14670448689247
"Sunbury, PA Micro Area",44980,44910.0,1748.0,51539,1968,220.0,12.6,40.88973365561125,-76.6980093787331
"Greenwood, SC Micro Area",24940,30795.0,497.0,43508,716,219.0,44.1,34.19012502175572,-82.30091996508199
"Albemarle, NC Micro Area",10620,26904.0,60.0,28632,272,212.0,353.3,35.31170419275181,-80.25132836740678
"Moscow, ID Micro Area",34140,15663.0,752.0,17591,963,211.0,28.1,46.81537257951033,-116.71172613498837
"Farmington, MO Micro Area",22100,27854.0,423.0,28945,634,211.0,49.9,37.81005295548321,-90.47203325585342
"Emporia, KS Micro Area",21380,16722.0,806.0,16415,1015,209.0,25.9,38.38265378079489,-96.36318048473187
"Jamestown-Dunkirk, NY Micro Area",27460,66784.0,2005.0,66476,2214,209.0,10.4,42.22772448291986,-79.36668231760312
"Elmira, NY Metro Area",21300,38371.0,1236.0,39252,1442,206.0,16.7,42.140886756668024,-76.75973289807197
"Tahlequah, OK Micro Area",45140,21258.0,400.0,22363,605,205.0,51.2,35.90653733710367,-94.99958218323474
"Sumter, SC Metro Area",44940,45442.0,801.0,47582,1004,203.0,25.3,33.91595412117946,-80.38195541464236
"Seneca, SC Micro Area",42860,37713.0,433.0,42100,636,203.0,46.9,34.7533943716439,-83.06557984280529
"Clearlake, CA Micro Area",17340,35315.0,616.0,34400,817,201.0,32.6,39.09942391763633,-122.75274984252921
"Brookings, OR Micro Area",15060,12461.0,185.0,13215,384,199.0,107.6,42.456394279675266,-124.1559749642396
"Waycross, GA Micro Area",48180,24136.0,206.0,24486,404,198.0,96.1,31.137086575458433,-82.36573284741797
"Laurel, MS Micro Area",29860,36342.0,128.0,36959,326,198.0,154.7,31.81764123132796,-89.14431899728018
"Shelbyville, TN Micro Area",43180,17946.0,138.0,20488,335,197.0,142.8,35.51340548875562,-86.45924151034549
"Okeechobee, FL Micro Area",36380,18057.0,44.0,18572,240,196.0,445.5,27.386457212777277,-80.88855866032335
"Kinston, NC Micro Area",28820,27578.0,608.0,26879,802,194.0,31.9,35.238687095228286,-77.6410279598167
"Owensboro, KY Metro Area",36980,49475.0,1331.0,48604,1525,194.0,14.6,37.66107565159411,-87.14931654071627
"Alamosa, CO Micro Area",10480,0.0,0.0,13780,193,193.0,,37.313355888433755,-105.81232321148792
"Roseburg, OR Micro Area",40700,48218.0,1428.0,50562,1620,192.0,13.4,43.278895976967945,-123.16472194496859
"Rockingham, NC Micro Area",40460,20810.0,132.0,19893,324,192.0,145.5,35.005900050498376,-79.74800345131104
