county,fips,total_emp,comp_eng_sci,computer_math,arch_eng,life_phys_sci,computer_math_pct,arch_eng_pct,life_phys_sci_pct,comp_eng_sci_pct,info_emp,info_pct,population,label,change_6mo_pct,change_12mo_pct,current_price
Alameda,6001,850555,143643,82114,36882,24647,9.654166985086208,4.336227522029733,2.8977549952677957,16.888149502383737,32259,3.7927000605487002,1622188,"Alameda
(Oakland, Berkeley)",-2.4683827434712566,-5.23871799440675,1044520.5878993848
Contra Costa,6013,578596,62135,34735,17633,9767,6.0033252908765355,3.047549585548466,1.6880517666904022,10.738926643115404,11761,2.032679105973771,1155025,"Contra Costa
(Walnut Creek, Richmond)",-1.6329070648701975,-4.620524315086528,766060.1509988109
Marin,6041,122942,11049,6214,2414,2421,5.05441590343414,1.9635275170405557,1.9692212588049647,8.98716467927966,5183,4.215809080704722,254407,"Marin
(Sausalito, Mill Valley)",0.9279967899393282,-1.2474513320712506,1392758.5427750442
Napa,6055,70166,3745,1656,1071,1018,2.3601174357951145,1.5263802981501011,1.4508451386711512,5.337342872616367,769,1.0959724082889148,133216,"Napa
(Wine Country)",-2.166921181318944,-3.979342270229051,864943.5442354205
San Francisco,6075,469220,79646,50522,14737,14387,10.767230723328076,3.140744213801628,3.0661523379225097,16.974127275052215,29589,6.30599718682068,808988,San Francisco,2.970828281717963,2.103059319607988,1268695.954713693
San Mateo,6081,386517,56607,30830,12141,13636,7.97636326474644,3.1411296268986875,3.5279172714266123,14.64541016307174,17710,4.5819459428692655,726353,"San Mateo
(Redwood City, Daly City)",0.4059405141806718,-0.1814491537284352,1525400.1518524562
Santa Clara,6085,1011709,246259,144198,80862,21199,14.252912645829976,7.99261447708778,2.0953653669187484,24.340892489836506,64861,6.411033212119295,1877592,"Santa Clara
(San Jose, Palo Alto, Cupertino)",1.973125305947018,-1.683571868015716,1583412.2333728848
Santa Cruz,6087,130190,10333,4864,2477,2992,3.7360780397880022,1.9026038866272372,2.298179583685383,7.936861510100622,2701,2.07466011214379,261547,Santa Cruz,1.904618112645832,0.2045578166823942,1102785.0217767437
Solano,6095,210417,12735,6166,4317,2252,2.930371595450938,2.0516403142331656,1.070255730287952,6.052267639972055,3483,1.65528450647999,449218,"Solano
(Vallejo, Fairfield)",-1.471125629794836,-3.0917594831899757,567011.6352274487
Sonoma,6097,251796,16010,6869,5531,3610,2.7280020333921113,2.196619485615339,1.4337002970658788,6.35832181607333,4973,1.975011517260004,481812,"Sonoma
(Santa Rosa)",-0.9750731421564176,-2.851756306180526,772956.1227420281
