zip,City,Metro,price_aug,price_dec,change_aug_dec,total_emp,info_emp,info_pct
94565,Pittsburg,"San Francisco-Oakland-Berkeley, CA",558488.3231896568,556760.958994283,-0.3092928041016975,47658,533,1.1183851609383524
95076,Watsonville,"Santa Cruz-Watsonville, CA",808698.8155101752,811426.0300854734,0.33723489177831406,36717,558,1.5197320042487132
94112,San Francisco,"San Francisco-Oakland-Berkeley, CA",1034909.4227001575,1059414.9164710694,2.3678877816162154,41816,1229,2.9390663860723167
95823,Sacramento,"Sacramento-Roseville-Folsom, CA",419949.6286184085,418282.6937012419,-0.3969368713697027,34737,560,1.6121138843308287
95035,Milpitas,"San Jose-Sunnyvale-Santa Clara, CA",1394210.3042546043,1424387.9849538298,2.1644999041489372,42140,2239,5.313241575700047
95630,Folsom,"Sacramento-Roseville-Folsom, CA",745243.6895890096,745640.6644818038,0.05326779660664824,39527,598,1.5128899233435373
94544,Hayward,"San Francisco-Oakland-Berkeley, CA",830219.7524864962,819982.28657065,-1.2331031495197777,40332,993,2.4620648616483187
94533,Fairfield,"Vallejo, CA",532674.4271810089,526822.135119087,-1.0986621026455305,36111,345,0.9553875550386309
94513,Brentwood,"San Francisco-Oakland-Berkeley, CA",790610.0541990293,787156.5676984409,-0.4368128740896448,31754,876,2.7587075644013352
95747,Roseville,"Sacramento-Roseville-Folsom, CA",653629.5397352698,656157.0424308284,0.38668734227989005,37563,737,1.9620371109868755
94536,Fremont,"San Francisco-Oakland-Berkeley, CA",1402183.5029319294,1410769.0377070524,0.6122975172059055,35773,1650,4.612417186145977
94110,San Francisco,"San Francisco-Oakland-Berkeley, CA",1193880.555839509,1239818.905185287,3.8478178676320853,40258,2897,7.196085250136619
94509,Antioch,"San Francisco-Oakland-Berkeley, CA",532576.8881734163,526535.3001661528,-1.1344067197478995,33351,376,1.1274024766873556
95687,Vacaville,"Vallejo, CA",570879.9553633048,570118.5867915511,-0.13336754331638767,30431,438,1.4393217442739312
94558,Napa,"Napa, CA",888325.4813605542,882102.1670132723,-0.7005669068222993,32302,447,1.383815243638165
94538,Fremont,"San Francisco-Oakland-Berkeley, CA",1294390.9883448123,1299634.548636744,0.4050986401440321,37592,1282,3.410300063843371
94587,Union City,"San Francisco-Oakland-Berkeley, CA",1235679.4441135533,1224085.5367971282,-0.9382617289342631,35557,1469,4.131394662091852
95624,Elk Grove,"Sacramento-Roseville-Folsom, CA",630041.3194702606,629539.9831592711,-0.07957197337645992,31974,501,1.566898104710077
95123,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1303151.3629435024,1323871.7511944855,1.5900216076343399,38443,1541,4.008532112478214
94541,Hayward,"San Francisco-Oakland-Berkeley, CA",771740.6238300063,764540.1788719469,-0.9330135975381192,34045,680,1.9973564400058745
94080,South San Francisco,"San Francisco-Oakland-Berkeley, CA",1167431.4708629493,1177840.0405887729,0.8915786481350992,36486,880,2.4118840103053225
95020,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA",1021940.2389086039,1035972.8255323,1.3731318221388809,31856,517,1.62292817679558
95758,Elk Grove,"Sacramento-Roseville-Folsom, CA",571903.7268015217,569096.8905156752,-0.49078824884466066,30985,362,1.1683072454413426
95206,Stockton,"Stockton, CA",416813.80345203326,412166.81526709866,-1.1148834674975854,29273,111,0.37918901376695247
95608,Carmichael,"Sacramento-Roseville-Folsom, CA",555773.652609876,557183.8047988942,0.2537277869140115,29510,255,0.8641138597085732
94806,Richmond,"San Francisco-Oakland-Berkeley, CA",571576.9762874659,565858.910324053,-1.000401730761292,29413,231,0.7853670145853874
94015,Daly City,"San Francisco-Oakland-Berkeley, CA",1127163.8884652143,1137410.6803204694,0.9090773719878067,35445,664,1.8733248695161515
94501,Alameda,"San Francisco-Oakland-Berkeley, CA",1092033.3184937865,1093517.5569950668,0.1359151297075336,32532,1397,4.294233370220091
95127,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1067836.7019430501,1075077.8478588897,0.6781136013271973,31731,772,2.4329520027733134
95014,Cupertino,"San Jose-Sunnyvale-Santa Clara, CA",2838604.1775630787,2986959.0835959543,5.226332970461463,29526,2517,8.524690103637472
95828,,"Sacramento-Roseville-Folsom, CA",444444.3507797178,444048.1661381445,-0.08914156314018493,27173,266,0.9789128914731535
95051,Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",1757552.4641489938,1823697.074588949,3.763450126763781,35670,3818,10.703672553966918
94568,Dublin,"San Francisco-Oakland-Berkeley, CA",1307224.7578463308,1281620.88316175,-1.9586436479954328,35860,2070,5.77244841048522
95111,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",1009450.3982198258,1036705.0628621985,2.699950853497751,29613,421,1.4216729139229394
94122,San Francisco,"San Francisco-Oakland-Berkeley, CA",1442577.6559860178,1503667.2807462001,4.234754677274334,31366,1411,4.498501562201109
95355,Modesto,"Modesto, CA",480217.78957875026,480821.27700162557,0.12566952661305736,28079,328,1.168132768260978
94087,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",2574407.115484973,2696013.39522758,4.72366157672379,28387,2999,10.564695106915137
95670,Rancho Cordova,"Sacramento-Roseville-Folsom, CA",478511.50782367744,477714.1863234251,-0.1666253553396564,27754,448,1.6141817395690712
95112,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",957857.0728971958,977874.698396661,2.0898342838267676,32232,1295,4.0177463390419454
94591,Vallejo,"Vallejo, CA",587671.5323383244,580466.8856043839,-1.2259649034339688,27797,779,2.802460697197539
