fips_5,pop_under18_2024
13085,6862.0
13119,5581.0
13207,6578.0
13241,2882.0
13263,927.0
13023,2564.0
13045,30575.0
13059,21155.0
13067,172421.0
13075,4561.0
13091,3531.0
13111,3945.0
13139,51342.0
13145,7762.0
13151,63828.0
13161,3797.0
13183,5618.0
13191,1790.0
13193,2093.0
13205,4725.0
13257,5926.0
13285,17389.0
13293,6408.0
13305,7712.0
13053,1998.0
13083,3045.0
13093,1686.0
13095,19724.0
13097,37527.0
13099,2494.0
13101,954.0
13147,5569.0
13011,4333.0
13019,4302.0
13049,2249.0
13105,4523.0
13121,222302.0
13167,1602.0
13229,5045.0
13239,436.0
13273,1891.0
13081,4475.0
13141,1220.0
13153,44036.0
13215,49797.0
13303,4151.0
13001,4423.0
13007,471.0
13009,7822.0
13031,16762.0
13039,14149.0
13057,63700.0
13077,35682.0
13087,7040.0
13171,4357.0
13181,1544.0
13211,4812.0
13213,9491.0
13233,11166.0
13287,2251.0
13291,4048.0
13035,5641.0
13125,644.0
13127,17539.0
13175,12422.0
13187,5957.0
13219,11257.0
13247,22534.0
13253,1792.0
13261,6429.0
13267,4897.0
13029,14526.0
13037,795.0
13047,14314.0
13117,69171.0
13235,1803.0
13255,16130.0
13265,298.0
13271,1945.0
13021,38145.0
13061,548.0
13065,1680.0
13135,252809.0
13299,8922.0
13315,1635.0
13013,23700.0
13027,3314.0
13071,12019.0
13089,171001.0
13159,3979.0
13185,29676.0
13189,5268.0
13243,1239.0
13249,1006.0
13251,3006.0
13275,10736.0
13005,2701.0
13033,5783.0
13055,5526.0
13073,40521.0
13129,13822.0
13133,3426.0
13155,2112.0
13157,23253.0
13197,1582.0
13201,1327.0
13223,46930.0
13283,1427.0
13311,5620.0
13015,26491.0
13051,61672.0
13069,10897.0
13173,2377.0
13177,8345.0
13199,4393.0
13217,30587.0
13221,3512.0
13245,46838.0
13269,1464.0
13279,7209.0
13319,1896.0
13063,76197.0
13079,2461.0
13107,5641.0
13109,2609.0
13113,27209.0
13115,22793.0
13123,5935.0
13277,10221.0
13103,18898.0
13195,7642.0
13225,6052.0
13227,6700.0
13237,4387.0
13259,614.0
13289,1445.0
13295,14441.0
13307,361.0
13321,4377.0
13137,10728.0
13165,1747.0
13169,6339.0
13209,1734.0
13297,25771.0
13301,1081.0
13313,25455.0
13317,1916.0
15007,15374.0
15009,33762.0
15001,42369.0
15003,201838.0
15005,6.0
16043,3339.0
16059,1491.0
16063,1417.0
16031,7832.0
16053,7537.0
16087,2498.0
16075,6856.0
16081,2658.0
16001,112898.0
16029,1968.0
16049,3552.0
16057,8089.0
16013,4532.0
16021,3263.0
16027,69310.0
16061,758.0
16073,2935.0
16085,2257.0
16047,4080.0
16083,24618.0
16005,22141.0
16009,2319.0
16023,629.0
16039,7145.0
16077,2373.0
16007,1724.0
16033,186.0
16035,1348.0
16045,4724.0
16069,8796.0
16079,2922.0
16015,1335.0
16055,41283.0
16011,14280.0
16017,10558.0
16065,11431.0
16067,6247.0
16025,262.0
16037,780.0
16071,1342.0
16019,38388.0
16041,4648.0
16003,807.0
16051,10891.0
17003,946.0
17029,8517.0
17153,996.0
17159,3381.0
17027,7947.0
17043,203122.0
17081,7936.0
17125,2540.0
17141,11162.0
17151,394.0
17175,1177.0
17181,3469.0
17193,2813.0
17001,14155.0
17021,6251.0
17121,8446.0
17041,4797.0
17013,815.0
17015,2721.0
17057,6292.0
17077,9972.0
17171,972.0
17173,4322.0
17191,3545.0
17083,4127.0
17093,37416.0
17163,55990.0
17009,1043.0
17011,6514.0
17071,1122.0
17131,3156.0
17161,31923.0
17165,4683.0
17169,1168.0
17195,11949.0
17051,4197.0
17059,914.0
17087,2182.0
17095,9771.0
17097,162161.0
17105,7691.0
17135,5432.0
17137,6249.0
17139,3493.0
17177,8950.0
17189,2711.0
17199,13754.0
17025,2882.0
17067,3549.0
17079,2063.0
17089,119191.0
17115,22730.0
17133,7352.0
17197,161584.0
17035,2277.0
17039,3205.0
17055,8123.0
17061,2419.0
17119,54728.0
17031,1053196.0
17063,12700.0
17075,5560.0
17107,5222.0
17129,2556.0
17179,27521.0
17017,3094.0
17091,23688.0
17123,2331.0
17143,42949.0
17145,3744.0
17033,3688.0
17065,1674.0
17073,10043.0
17099,22660.0
17101,2669.0
17111,69840.0
17147,3591.0
17005,2844.0
17007,12249.0
17069,640.0
17109,4920.0
17117,8855.0
17157,5964.0
17187,3594.0
17203,9034.0
17019,39593.0
17023,3270.0
17037,21383.0
17047,1259.0
17085,3805.0
17103,6389.0
17113,35599.0
17149,3267.0
17155,1051.0
17183,16531.0
17045,3212.0
17049,8202.0
17053,3098.0
17127,2741.0
17167,41597.0
17185,2254.0
17201,65997.0
18051,7563.0
18057,92744.0
18083,7616.0
18091,23206.0
18039,55315.0
18055,6638.0
18139,3662.0
18141,62544.0
18009,2587.0
18021,5931.0
18027,10178.0
18033,10446.0
18047,5038.0
18059,20431.0
18063,46266.0
18117,4507.0
18133,7494.0
18151,6752.0
18157,38069.0
18043,18063.0
18107,8720.0
