sma_code,sma_name,central_cities,state,county_fips,county_name,is_central_county,partial_county,new_england_towns
1840,"Columbus, OH SMA",Columbus,OH,39049,Franklin County,1,0,
1880,"Corpus Christi, TX SMA",Corpus Christi,TX,48355,Nueces County,1,0,
1920,"Dallas, TX SMA",Dallas,TX,48113,Dallas County,1,0,
1960,"Davenport-Rock Island-Moline, IA-IL SMA",Davenport|Rock Island|Moline,IL,17161,"Rock Island County, IL",1,0,
1960,"Davenport-Rock Island-Moline, IA-IL SMA",Davenport|Rock Island|Moline,IA,19163,"Scott County, IA",1,0,
2000,"Dayton, OH SMA",Dayton,OH,39057,Greene County,0,0,
2000,"Dayton, OH SMA",Dayton,OH,39113,Montgomery County,1,0,
2040,"Decatur, IL SMA",Decatur,IL,17115,Macon County,1,0,
2080,"Denver, CO SMA",Denver,CO,08001,Adams County,0,0,
2080,"Denver, CO SMA",Denver,CO,08005,Arapahoe County,0,0,
2080,"Denver, CO SMA",Denver,CO,08031,Denver County,1,0,
2080,"Denver, CO SMA",Denver,CO,08059,Jefferson County,0,0,
2120,"Des Moines, IA SMA",Des Moines,IA,19153,Polk County,1,0,
2160,"Detroit, MI SMA",Detroit,MI,26099,Macomb County,0,0,
2160,"Detroit, MI SMA",Detroit,MI,26125,Oakland County,0,0,
2160,"Detroit, MI SMA",Detroit,MI,26163,Wayne County,1,0,
2240,"Duluth-Superior, MN-WI SMA",Duluth|Superior,MN,27137,"St.Louis County, MN",1,0,
2240,"Duluth-Superior, MN-WI SMA",Duluth|Superior,WI,55031,"Douglas County, WI",1,0,
2280,"Durham, NC SMA",Durham,NC,37063,Durham County,1,0,
2320,"El Paso, TX SMA",El Paso,TX,48141,El Paso County,1,0,
2360,"Erie, PA SMA",Erie,PA,42049,Erie County,1,0,
2440,"Evansville, IN SMA",Evansville,IN,18163,"Vanderburgh County, IN",1,0,
2480,"Fall River, MA-RI SMA",Fall River,MA,25005,"Bristol County, MA",1,1,Fall River city|Somerset town|Swansea town|Westport town
2480,"Fall River, MA-RI SMA",Fall River,RI,44005,"Newport County, RI",0,1,Tiverton town
2640,"Flint, MI SMA",Flint,MI,26049,Genesee County,1,0,
2760,"Fort Wayne, IN SMA",Fort Wayne,IN,18003,Allen County,1,0,
2800,"Fort Worth, TX SMA",Fort Worth,TX,48439,Tarrant County,1,0,
2840,"Fresno, CA SMA",Fresno,CA,06019,Fresno County,1,0,
2880,"Gadsden, AL SMA",Gadsden,AL,01055,Etowah County,1,0,
2920,"Galveston, TX SMA",Galveston,TX,48167,Galveston County,1,0,
3000,"Grand Rapids, MI SMA",Grand Rapids,MI,26081,Kent County,1,0,
3080,"Green Bay, WI SMA",Green Bay,WI,55009,Brown County,1,0,
3120,"Greensboro-High Point, NC SMA",Greensboro-High Point,NC,37081,Guilford County,1,0,
3160,"Greenville, SC SMA",Greenville,SC,45045,Greenville County,1,0,
3200,"Hamilton-Middletown, OH SMA",Hamilton|Middletown,OH,39017,Butler County,1,0,
3240,"Harrisburg, PA SMA",Harrisburg,PA,42041,Cumberland County,0,0,
3240,"Harrisburg, PA SMA",Harrisburg,PA,42043,Dauphin County,1,0,
3280,"Hartford, CT SMA",Hartford,CT,09003,Hartford County,1,1,Avon town|Bloomfield town|East Hartford town|Farmington town|Glastonbury town|Hartford city|Manchester town|Newington town|Rocky Hill town|Simsbury town|South Windsor town|West Hartford town|Wethersfield town|Windsor town
3320,"Honolulu, Territory of Hawaii SMA",Honolulu,HI,15003,Honolulu County,1,0,
3360,"Houston, TX SMA",Houston,TX,48201,Harris County,1,0,
3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington|Ashland,KY,21019,"Boyd County, KY",1,0,
3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington|Ashland,OH,39087,"Lawrence County, OH",0,0,
3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington|Ashland,WV,54011,"Cabell County, WV",1,0,
3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington|Ashland,WV,54099,"Wayne County, WV",0,0,
3480,"Indianapolis, IN SMA",Indianapolis,IN,18097,Marion County,1,0,
3520,"Jackson, MI SMA",Jackson,MI,26075,Jackson County,1,0,
3560,"Jackson, MS SMA",Jackson,MS,28049,Hinds County,1,0,
3600,"Jacksonville, FL SMA",Jacksonville,FL,12031,Duval County,1,0,
3680,"Johnstown, PA SMA",Johnstown,PA,42021,Cambria County,1,0,
3680,"Johnstown, PA SMA",Johnstown,PA,42111,Somerset County,0,0,
3720,"Kalamazoo, MI SMA",Kalamazoo,MI,26077,Kalamazoo County,1,0,
3760,"Kansas City, MO-KS SMA",Kansas City,KS,20091,"Johnson County, KS",0,0,
3760,"Kansas City, MO-KS SMA",Kansas City,KS,20209,"Wyandotte County, KS",1,0,
3760,"Kansas City, MO-KS SMA",Kansas City,MO,29047,"Clay County, MO",0,0,
3760,"Kansas City, MO-KS SMA",Kansas City,MO,29095,"Jackson County, MO",1,0,
3800,"Kenosha, WI SMA",Kenosha,WI,55059,Kenosha County,1,0,
3840,"Knoxville, TN SMA",Knoxville,TN,47001,Anderson County,0,0,
3840,"Knoxville, TN SMA",Knoxville,TN,47009,Blount County,0,0,
3840,"Knoxville, TN SMA",Knoxville,TN,47093,Knox County,1,0,
4000,"Lancaster, PA SMA",Lancaster,PA,42071,Lancaster County,1,0,
4040,"Lansing, MI SMA",Lansing,MI,26065,Ingham County,1,0,
4080,"Laredo, TX SMA",Laredo,TX,48479,Webb County,1,0,
4160,"Lawrence, MA SMA",Lawrence,MA,25009,"Essex County, MA",1,1,Andover town|Lawrence city|Methuen town|North Andover town
4280,"Lexington, KY SMA",Lexington,KY,21067,Fayette County,1,0,
4320,"Lima, OH SMA",Lima,OH,39003,Allen County,1,0,
4360,"Lincoln, NE SMA",Lincoln,NE,31109,Lancaster County,1,0,
4400,"Little Rock-North Little Rock, AR SMA",Little Rock|North Little Rock,AR,05119,Pulaski County,1,0,
4440,"Lorain-Elyria, OH SMA",Lorain|Elyria,OH,39093,Lorain County,1,0,
4480,"Los Angeles, CA SMA",Los Angeles,CA,06037,Los Angeles County,1,0,
4480,"Los Angeles, CA SMA",Los Angeles,CA,06059,Orange County,0,0,
4520,"Louisville, KY-IN SMA",Louisville,IN,18019,"Clark County, IN",0,0,
4520,"Louisville, KY-IN SMA",Louisville,IN,18043,"Floyd County, IN",0,0,
4520,"Louisville, KY-IN SMA",Louisville,KY,21111,"Jefferson County, KY",1,0,
4560,"Lowell, MA SMA",Lowell,MA,25017,"Middlesex County, MA",1,1,Billerica town|Chelmsford town|Dracut town|Lowell city|Tewksbury town
4600,"Lubbock, TX SMA",Lubbock,TX,48303,Lubbock County,1,0,
4680,"Macon, GA SMA",Macon,GA,13021,Bibb County,1,0,
4680,"Macon, GA SMA",Macon,GA,13153,Houston County,0,0,
4720,"Madison, WI SMA",Madison,WI,55025,Dane County,1,0,
4760,"Manchester, NH SMA",Manchester,NH,33011,Hillsborough County,1,1,Goffstown town|Manchester city
4840,"Mayaguez, PR SMA",Mayaguez,PR,72097,Mayaguez Municipio,1,0,
4920,"Memphis, TN SMA",Memphis,TN,47157,"Shelby County, TN",1,0,
5000,"Miami, FL SMA",Miami,FL,12025,Dade County,1,0,
5080,"Milwaukee, WI SMA",Milwaukee,WI,55079,Milwaukee County,1,0,
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,MN,27003,"Anoka County, MN",0,0,
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,MN,27037,"Dakota County, MN",0,0,
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,MN,27053,"Hennepin County, MN",1,0,
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,MN,27123,"Ramsey County, MN",1,0,
5160,"Mobile, AL SMA",Mobile,AL,01097,Mobile County,1,0,
5240,"Montgomery, AL SMA",Montgomery,AL,01101,Montgomery County,1,0,
5280,"Muncie, IN SMA",Muncie,IN,18035,Delaware County,1,0,
5360,"Nashville, TN SMA",Nashville,TN,47037,Davidson County,1,0,
5400,"New Bedford, MA SMA",New Bedford,MA,25005,Bristol County,1,1,Acushnet town|Dartmouth town|Fairhaven town|New Bedford city
5440,"New Britain-Bristol, CT SMA",New Britain|Bristol,CT,09003,Hartford County,1,1,Berlin town|Bristol city|New Britain city|Plainville town|Southington town
5440,"New Britain-Bristol, CT SMA",New Britain|Bristol,CT,09005,Litchfield County,0,1,Plymouth town
5480,"New Haven, CT SMA",New Haven,CT,09009,New Haven County,1,1,Branford town|East Haven town|Hamden town|New Haven city|North Haven town|Orange town|West Haven town|Woodbridge town
5560,"New Orleans, LA SMA",New Orleans,LA,22051,Jefferson Parish,0,0,
5560,"New Orleans, LA SMA",New Orleans,LA,22071,Orleans Parish,1,0,
5560,"New Orleans, LA SMA",New Orleans,LA,22087,St. Bernard Parish,0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34003,"Bergen County, NJ",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34013,"Essex County, NJ",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34017,"Hudson County, NJ",1,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34023,"Middlesex County, NJ",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34027,"Morris County, NJ",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34031,"Passaic County, NJ",0,0,
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,NJ,34035,"Somerset County, NJ",0,0,
