fips_5,msa_name_short,County/County Equivalent,state_fips,cbsa_code,pop_under18,aged_out_5_17,pop_under18_2024,delta_under18,births_2012_2024,deaths_2012_2024,net_migration_implied,delta_pct_of_baseline,births_pct_of_baseline,aging_out_pct_of_baseline,net_mig_pct_of_baseline
37025,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,37,16740,49009,36363,60351.0,11342.0,32856.0,0,14849.0,23.142688077700015,67.04074761778449,-74.1965761390765,30.29851659899202
37071,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,37,16740,48941,35807,53554.0,4613.0,33977.0,0,6443.0,9.425634948202937,69.42440898224392,-73.16360515723014,13.164831123189147
37097,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,37,16740,40160,30534,44800.0,4640.0,24858.0,0,10316.0,11.553784860557768,61.89741035856574,-76.0308764940239,25.687250996015937
37109,"Charlotte-Concord-Gastonia, NC-SC",Lincoln County,37,16740,18095,13668,19875.0,1780.0,,0,,9.8369715390992,,-75.53467808786958,
37119,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,37,16740,237687,168440,269794.0,32107.0,191083.0,0,9464.0,13.50810098995738,80.39270132569303,-70.86630737061766,3.9817070348820085
37159,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,37,16740,32186,23673,33404.0,1218.0,20617.0,0,4274.0,3.784254023488473,64.05580065867147,-73.55061206735847,13.27906543217548
37179,"Charlotte-Concord-Gastonia, NC-SC",Union County,37,16740,61009,47092,65177.0,4168.0,31539.0,0,19721.0,6.831778917864577,51.695651461259814,-77.18861151633367,32.32473897293842
45023,"Charlotte-Concord-Gastonia, NC-SC",Chester County,45,16740,7675,5577,6972.0,-703.0,,0,,-9.159609120521173,,-72.66449511400651,
45057,"Charlotte-Concord-Gastonia, NC-SC",Lancaster County,45,16740,17708,12715,24040.0,6332.0,,0,,35.75784955952112,,-71.80370454032075,
45091,"Charlotte-Concord-Gastonia, NC-SC",York County,45,16740,58131,42672,69965.0,11834.0,38455.0,0,16051.0,20.357468476372333,66.15231115927817,-73.4066160912422,27.611773408336344
17031,"Chicago-Naperville-Elgin, IL-IN",Cook County,17,16980,1221148,876650,1053196.0,-167952.0,793757.0,0,-85059.0,-13.753615450379478,65.00088441368285,-71.78900510011891,-6.965494763943436
17043,"Chicago-Naperville-Elgin, IL-IN",DuPage County,17,16980,225503,169205,203122.0,-22381.0,132130.0,0,14694.0,-9.924923393480354,58.59345551943876,-75.03447847700474,6.516099564085621
17063,"Chicago-Naperville-Elgin, IL-IN",Grundy County,17,16980,13431,9920,12700.0,-731.0,,0,,-5.442632715359988,,-73.85898294989204,
17111,"Chicago-Naperville-Elgin, IL-IN",McHenry County,17,16980,81970,63203,69840.0,-12130.0,40546.0,0,10527.0,-14.7980968647066,49.46443820910089,-77.10503842869343,12.842503354885935
17197,"Chicago-Naperville-Elgin, IL-IN",Will County,17,16980,192683,146228,161584.0,-31099.0,95526.0,0,19603.0,-16.139981212665365,49.57676598350659,-75.89045219349917,10.173704997327217
17037,"Chicago-Naperville-Elgin, IL-IN",DeKalb County,17,16980,23261,16832,21383.0,-1878.0,11989.0,0,2965.0,-8.073599587292033,51.54120631099265,-72.36146339366321,12.74665749537853
17089,"Chicago-Naperville-Elgin, IL-IN",Kane County,17,16980,147772,109313,119191.0,-28581.0,80231.0,0,501.0,-19.341282516308908,54.29377689954795,-73.97409522778334,0.33903581192648136
17093,"Chicago-Naperville-Elgin, IL-IN",Kendall County,17,16980,36182,26464,37416.0,1234.0,16851.0,0,10847.0,3.410535625449118,46.572881543308824,-73.14134099828644,29.978995080426728
17097,"Chicago-Naperville-Elgin, IL-IN",Lake County,17,16980,188421,142983,162161.0,-26260.0,93952.0,0,22771.0,-13.936875401361846,49.86280722424783,-75.88485359912112,12.085170973511445
18073,"Chicago-Naperville-Elgin, IL-IN",Jasper County,18,16980,8419,6343,7494.0,-925.0,,0,,-10.98705309419171,,-75.34148948806272,
18089,"Chicago-Naperville-Elgin, IL-IN",Lake County,18,16980,125261,92695,114054.0,-11207.0,72948.0,0,8540.0,-8.946918833475703,58.23680155834617,-74.00148489952979,6.817764507707906
