bucket,movers_median,stayers_median,diff,movers_n,stayers_n
20–29,83917.56157112084,41070.424155530854,42847.13741558998,48,6452
30–34,145612.1892261068,64278.40554719888,81333.78367890792,167,12351
35–39,186407.68383702435,77134.21400152732,109273.46983549703,177,18450
40–44,138311.79097317046,80000.0,58311.79097317046,118,21461
45–49,167218.8820265338,84749.6803573394,82469.2016691944,87,22173
50–69,123898.5768225385,96411.83372913499,27486.743093403507,92,61505
