county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
02150,Kodiak - Elec District 13,Alaska,False,False,False,False,False,False,False,False,0
02158,Kusilvak Census Area,Alaska,False,False,False,False,False,False,False,False,0
02160,Kuskokwim - Elec District 17,Alaska,False,False,False,False,False,False,False,False,0
02164,Lynn Canal-Icy Straits - Elec District 06,Alaska,False,False,False,False,False,False,False,False,0
02170,Matanuska-Susitna,Alaska,False,False,False,False,False,False,True,True,2010
02180,Nome - Elec District 23,Alaska,False,False,False,False,False,False,False,False,0
02185,North Slope,Alaska,False,False,False,False,False,False,False,False,0
02188,Northwest Arctic,Alaska,False,False,False,False,False,False,False,False,0
02190,Palmer-Wasilla-Talkeetna - Elec District 09,Alaska,False,False,False,False,False,False,False,False,0
02195,Petersburg Census Area,Alaska,False,False,False,False,False,False,False,False,0
02198,Prince of Wales-Hyder Census Area,Alaska,False,False,False,False,False,False,False,False,0
02200,Prince Of Wales - Elec District 01,Alaska,False,False,False,False,False,False,False,False,0
02201,Seward - Elec District 11,Alaska,False,False,False,False,False,False,False,False,0
02210,Seward,Alaska,False,False,False,False,False,False,False,False,0
02220,Sitka - Elec District 04,Alaska,False,False,False,False,False,False,False,False,0
02230,Skagway-Yakutat,Alaska,False,False,False,False,False,False,False,False,0
02231,Skagway-Yakutat-Angoon,Alaska,False,False,False,False,False,False,False,False,0
02232,Skagway-Hoonah-Angoon,Alaska,False,False,False,False,False,False,False,False,0
02240,Southeast Fairbanks,Alaska,False,False,False,False,False,False,False,False,0
02250,Upper Yukon - Elec District 20,Alaska,False,False,False,False,False,False,False,False,0
02260,Valdez-Chitina-Whittier - Elec District 08,Alaska,False,False,False,False,False,False,False,False,0
02261,Valdez-Cordova,Alaska,False,False,False,False,False,False,False,False,0
02270,Wade Hapton - Elec District 24,Alaska,False,False,False,False,False,False,False,False,0
02275,Wrangell City and Borough,Alaska,False,False,False,False,False,False,False,False,0
02280,Wrangell-Petersburg - Elec District 03,Alaska,False,False,False,False,False,False,False,False,0
02282,Yakutat,Alaska,False,False,False,False,False,False,False,False,0
02290,Yukon-Koyukuk - Elec District 18,Alaska,False,False,False,False,False,False,False,False,0
04001,Apache,Arizona,False,False,False,False,False,False,False,False,0
04003,Cochise,Arizona,False,False,False,False,False,False,True,True,2010
04005,Coconino,Arizona,False,False,False,False,False,True,True,True,2000
04007,Gila,Arizona,False,False,False,False,False,False,False,False,0
04009,Graham,Arizona,False,False,False,False,False,False,False,False,0
04011,Greenlee,Arizona,False,False,False,False,False,False,False,False,0
04012,La Paz,Arizona,False,False,False,False,False,False,False,False,0
04013,Maricopa,Arizona,True,True,True,True,True,True,True,True,1950
04015,Mohave,Arizona,False,False,False,False,True,True,True,True,1990
04017,Navajo,Arizona,False,False,False,False,False,False,False,False,0
04019,Pima,Arizona,False,True,True,True,True,True,True,True,1960
04021,Pinal,Arizona,False,False,False,False,True,True,True,True,1990
04023,Santa Cruz,Arizona,False,False,False,False,False,False,False,False,0
04025,Yavapai,Arizona,False,False,False,False,False,False,True,True,2010
04027,Yuma,Arizona,False,False,False,False,True,True,True,True,1990
05001,Arkansas,Arkansas,False,False,False,False,False,False,False,False,0
05003,Ashley,Arkansas,False,False,False,False,False,False,False,False,0
05005,Baxter,Arkansas,False,False,False,False,False,False,False,False,0
05007,Benton,Arkansas,False,False,True,False,True,True,True,True,1970
05009,Boone,Arkansas,False,False,False,False,False,False,False,False,0
05011,Bradley,Arkansas,False,False,False,False,False,False,False,False,0
05013,Calhoun,Arkansas,False,False,False,False,False,False,False,False,0
05015,Carroll,Arkansas,False,False,False,False,False,False,False,False,0
05017,Chicot,Arkansas,False,False,False,False,False,False,False,False,0
05019,Clark,Arkansas,False,False,False,False,False,False,False,False,0
05021,Clay,Arkansas,False,False,False,False,False,False,False,False,0
05023,Cleburne,Arkansas,False,False,False,False,False,False,False,False,0
05025,Cleveland,Arkansas,False,False,False,False,False,False,True,False,2010
05027,Columbia,Arkansas,False,False,False,False,False,False,False,False,0
05029,Conway,Arkansas,False,False,False,False,False,False,False,False,0
