fips_5,year_2011,hh_weighted_2011,pct_burdened_2011,pct_severely_2011,year_2023,hh_weighted_2023,pct_burdened_2023,pct_severely_2023,pct_burdened_delta,msa_name_short,County/County Equivalent,pop_under18,pop_under18_2024,delta_under18,delta_under18_pct
01003,2011.0,72832.0,28.36115992970123,11.63087653778559,2023.0,103978.0,25.30631479736098,9.52413010444517,-3.054845132340251,,,,,,
01015,2011.0,43279.0,31.893065921116477,16.45832851960535,2023.0,43754.0,27.10609315719706,14.426109612835397,-4.786972763919419,,,,,,
01055,2011.0,39237.0,35.34928766215562,16.882024619619237,,,,,,,,,,,
01073,2011.0,244274.0,36.69731530985697,18.004781515838772,,,,,,,,,,,
01081,2011.0,52889.0,37.1041237308325,17.003535706857758,,,,,,,,,,,
01083,,,,,2023.0,42359.0,17.57359711041337,7.214523477891357,,,,,,,
01097,2011.0,150032.0,36.22360563079876,16.450490562013435,2023.0,155691.0,30.148178122049448,12.498474542523331,-6.075427508749311,,,,,,
01117,2011.0,72754.0,25.241223850235038,9.582978255491106,,,,,,,,,,,
01125,2011.0,65152.0,39.297335461689585,21.74300098231827,2023.0,88480.0,28.36573236889692,17.620931283905968,-10.931603092792663,,,,,,
02020,2011.0,104333.0,32.75186182703459,13.953399212138057,2023.0,107048.0,26.193856961363128,12.720461848890219,-6.55800486567146,,,,,,
04005,2011.0,42796.0,37.60164501355267,18.314795775306102,2023.0,55129.0,36.224128861397816,18.24266719875202,-1.377516152154854,,,,,,
04013,2011.0,1356536.0,38.720461528481366,18.154549529094695,2023.0,1708741.0,32.26147204286665,15.02808207914482,-6.458989485614715,"Phoenix-Mesa-Chandler, AZ",Maricopa County,1003357.0,1014730.0,11373.0,1.1334948577624913
04015,,,,,2023.0,94515.0,32.47209437655398,16.398455271650004,,,,,,,
04019,2011.0,365360.0,38.76040070067878,19.337365885701775,,,,,,,,,,,
04025,2011.0,87655.0,37.1091209856825,17.992128229992584,2023.0,110415.0,32.26644930489517,18.73930172530906,-4.842671680787333,,,,,,
04027,2011.0,68505.0,36.62652361141522,15.658711042989562,,,,,,,,,,,
05007,2011.0,80284.0,26.142195207015096,9.583478650789697,2023.0,114770.0,20.071447242310708,8.464755598152827,-6.070747964704388,,,,,,
05119,2011.0,145995.0,32.88742765163191,15.356690297612932,2023.0,163385.0,29.945833460844018,14.526425314441349,-2.9415941907878924,,,,,,
05143,2011.0,75787.0,35.01128161821948,15.419531054138572,2023.0,95475.0,31.82508510081173,14.043466876145589,-3.1861965174077476,,,,,,
06001,2011.0,530304.0,44.56481565290852,21.33191527878349,2023.0,591244.0,38.99625197042169,19.124591539195322,-5.5685636824868325,,,,,,
06007,2011.0,79767.0,45.96763072448506,24.71824187947397,2023.0,82726.0,43.04088194763436,23.448492614172086,-2.926748776850701,,,,,,
06013,2011.0,370556.0,44.918446874426536,20.98198382970455,2023.0,408395.0,37.29379644706718,18.722805127388924,-7.624650427359356,,,,,,
06017,2011.0,65870.0,42.25595870654319,20.068316380749962,2023.0,76366.0,36.80171804206061,16.40258753895713,-5.454240664482583,,,,,,
06019,2011.0,278393.0,45.26550595740554,21.33063690538196,2023.0,316671.0,40.626075643175405,21.908858089310357,-4.6394303142301325,,,,,,
06023,2011.0,49166.0,42.62498474555587,23.436927958345198,2023.0,53685.0,41.82732606873428,22.956132998044147,-0.797658676821591,,,,,,
06025,2011.0,46976.0,46.0149863760218,22.12619209809264,2023.0,46861.0,37.35515674014639,16.834894688546978,-8.659829635875411,,,,,,
06029,2011.0,244574.0,41.010082837914084,19.672573536025904,2023.0,279551.0,39.54734556485221,19.70338149389557,-1.462737273061876,,,,,,
06031,2011.0,38990.0,39.65632213388049,17.176199025391124,2023.0,41738.0,43.53826249460923,19.574488475729552,3.8819403607287413,,,,,,
06037,2011.0,3107713.0,52.346725711158015,27.30014000649352,2023.0,3347934.0,46.676935686306834,24.29408703994762,-5.669790024851181,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2368374.0,1944946.0,-423428.0,-17.878426295846854
06039,2011.0,37854.0,35.90637713319597,15.480530459132455,2023.0,44784.0,45.087531261164706,22.95016077170418,9.181154127968739,,,,,,
06041,2011.0,98897.0,47.607106383409004,24.540683741670627,2023.0,98419.0,39.940458651276685,21.20322295491724,-7.6666477321323185,,,,,,
06047,2011.0,70626.0,46.49279302239968,22.412426018746636,2023.0,82999.0,43.92221593031241,25.496692731237726,-2.5705770920872695,,,,,,
06055,2011.0,47812.0,46.356563205889735,22.172258010541288,2023.0,49817.0,38.898368026978744,18.957384025533454,-7.458195178910991,,,,,,
