year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
1980,7160,"Salt Lake City, UT SMA",Salt Lake City,49,Salt Lake City,39480.0
1980,2840,"Fresno, CA SMA",Fresno,06,Fresno,60912.0
1980,3600,"Jacksonville, FL SMA",Jacksonville,12,Jacksonville,155581.0
1980,5360,"Nashville, TN SMA",Nashville,47,,
1980,8160,"Syracuse, NY SMA",Syracuse,36,Syracuse,39694.0
1980,2640,"Flint, MI SMA",Flint,26,Flint,50870.0
1980,6760,"Richmond, VA SMA",Richmond,51,Richmond,49025.0
1980,3000,"Grand Rapids, MI SMA",Grand Rapids,26,Grand Rapids,49844.0
1980,7280,"San Bernardino, CA SMA",San Bernardino,06,San Bernardino,33036.0
1980,1320,"Canton, OH SMA",Canton,39,Canton,25566.0
1980,3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington,54,Huntington,13934.0
1980,3400,"Huntington-Ashland, WV-KY-OH SMA",Ashland,21,Ashland,6664.0
1980,7400,"San Jose, CA SMA",San Jose,06,San Jose,195285.0
1980,3240,"Harrisburg, PA SMA",Harrisburg,42,Harrisburg,14832.0
1980,5160,"Mobile, AL SMA",Mobile,01,Mobile,58060.0
1980,1560,"Chattanooga, TN-GA SMA",Chattanooga,47,Chattanooga,45310.0
1980,8680,"Utica-Rome, NY SMA",Utica,36,Utica,18052.0
1980,8680,"Utica-Rome, NY SMA",Rome,36,Rome,12470.0
1980,6920,"Sacramento, CA SMA",Sacramento,06,Sacramento,67784.0
1980,9160,"Wilmington, DE-NJ SMA",Wilmington,10,Wilmington,19937.0
1980,8560,"Tulsa, OK SMA",Tulsa,40,Tulsa,92946.0
1980,8200,"Tacoma, WA SMA",Tacoma,53,Tacoma,42427.0
1980,2240,"Duluth-Superior, MN-WI SMA",Duluth,27,Duluth,22464.0
1980,2240,"Duluth-Superior, MN-WI SMA",Superior,55,Superior,7511.0
1980,6120,"Peoria, IL SMA",Peoria,17,Peoria,34282.0
1980,4000,"Lancaster, PA SMA",Lancaster,42,Lancaster,14516.0
1980,7560,"Scranton, PA SMA",Scranton,42,Scranton,19934.0
1980,2320,"El Paso, TX SMA",El Paso,48,El Paso,148889.0
1980,9040,"Wichita, KS SMA",Wichita,20,Wichita,73465.0
1980,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Davenport,19,Davenport,30049.0
1980,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Rock Island,17,Rock Island,12521.0
1980,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Moline,17,Moline,11796.0
1980,6680,"Reading, PA SMA",Reading,42,Reading,19519.0
1980,2360,"Erie, PA SMA",Erie,42,Erie,32473.0
1980,2120,"Des Moines, IA SMA",Des Moines,19,Des Moines,49410.0
1980,840,"Beaumont-Port Arthur, TX SMA",Beaumont,48,Beaumont,33367.0
1980,840,"Beaumont-Port Arthur, TX SMA",Port Arthur,48,Port Arthur,17588.0
1980,1520,"Charlotte, NC SMA",Charlotte,37,Charlotte,87359.0
1980,7840,"Spokane, WA SMA",Spokane,53,Spokane,41959.0
1980,1880,"Corpus Christi, TX SMA",Corpus Christi,48,Corpus Christi,75127.0
1980,1440,"Charleston, SC SMA",Charleston,45,Charleston,17032.0
1980,9280,"York, PA SMA",York,42,York,11734.0
1980,3120,"Greensboro-High Point, NC SMA",Greensboro-High Point,37,Greensboro,39439.0
1980,4400,"Little Rock-North Little Rock, AR SMA",Little Rock,05,Little Rock,44312.0
1980,4400,"Little Rock-North Little Rock, AR SMA",North Little Rock,05,North Little Rock,17443.0
1980,8120,"Stockton, CA SMA",Stockton,06,Stockton,43706.0
1980,7800,"South Bend, IN SMA",South Bend,18,South Bend,29405.0
1980,1800,"Columbus, GA-AL SMA",Columbus,13,Columbus,49996.0
1980,3160,"Greenville, SC SMA",Greenville,45,Greenville,13947.0
1980,8480,"Trenton, NJ SMA",Trenton,34,Trenton,26635.0
1980,7680,"Shreveport, LA SMA",Shreveport,22,Shreveport,62363.0
1980,600,"Augusta, GA-SC SMA",Augusta,13,Augusta,11536.0
1980,2760,"Fort Wayne, IN SMA",Fort Wayne,18,Fort Wayne,48134.0
1980,960,"Binghamton, NY SMA",Binghamton,36,Binghamton,12305.0
1980,760,"Baton Rouge, LA SMA",Baton Rouge,22,Baton Rouge,59857.0
1980,6960,"Saginaw, MI SMA",Saginaw,26,Saginaw,25156.0
1980,4040,"Lansing, MI SMA",Lansing,26,Lansing,38127.0
1980,200,"Albuquerque, NM SMA",Albuquerque,35,Albuquerque,92388.0
1980,6400,"Portland, ME SMA",Portland,23,Portland,14114.0
1980,7520,"Savannah, GA SMA",Savannah,13,Savannah,41829.0
1980,2440,"Evansville, IN SMA",Evansville,18,Evansville,32130.0
1980,3560,"Jackson, MS SMA",Jackson,28,Jackson,59982.0
1980,4720,"Madison, WI SMA",Madison,55,Madison,34990.0
1980,640,"Austin, TX SMA",Austin,48,Austin,84529.0
1980,4680,"Macon, GA SMA",Macon,13,Macon,33556.0
1980,5240,"Montgomery, AL SMA",Montgomery,01,Montgomery,53745.0
1980,1760,"Columbia, SC SMA",Columbia,45,Columbia,20538.0
1980,3200,"Hamilton-Middletown, OH SMA",Hamilton,39,Hamilton,18090.0
1980,3200,"Hamilton-Middletown, OH SMA",Middletown,39,Middletown,12012.0
1980,4760,"Manchester, NH SMA",Manchester,33,Manchester,23369.0
1980,4440,"Lorain-Elyria, OH SMA",Lorain,39,Lorain,23724.0
1980,4440,"Lorain-Elyria, OH SMA",Elyria,39,Elyria,17731.0
1980,6880,"Rockford, IL SMA",Rockford,17,Rockford,38904.0
1980,6640,"Raleigh, NC SMA",Raleigh,37,Raleigh,33433.0
1980,280,"Altoona, PA SMA",Altoona,42,Altoona,14879.0
1980,480,"Asheville, NC SMA",Asheville,37,Asheville,12356.0
1980,8800,"Waco, TX SMA",Waco,48,Waco,24625.0
1980,6800,"Roanoke, VA SMA",Roanoke,51,Roanoke,24415.0
1980,6320,"Pittsfield, MA SMA",Pittsfield,25,Pittsfield,14035.0
1980,3720,"Kalamazoo, MI SMA",Kalamazoo,26,Kalamazoo,17942.0
1980,7880,"Springfield, IL SMA",Springfield,17,Springfield,25380.0
1980,2920,"Galveston, TX SMA",Galveston,48,Galveston,15902.0
1980,2880,"Gadsden, AL SMA",Gadsden,01,Gadsden,12263.0
1980,4600,"Lubbock, TX SMA",Lubbock,48,Lubbock,48170.0
1980,7960,"Springfield, OH SMA",Springfield,39,Springfield,19966.0
1980,3080,"Green Bay, WI SMA",Green Bay,55,Green Bay,24418.0
1980,560,"Atlantic City, NJ SMA",Atlantic City,34,Atlantic City,9737.0
1980,5960,"Orlando, FL SMA",Orlando,12,Orlando,30727.0
1980,6600,"Racine, WI SMA",Racine,55,Racine,25260.0
1980,3520,"Jackson, MI SMA",Jackson,26,Jackson,11651.0
1980,7720,"Sioux City, IA SMA",Sioux City,19,Sioux City,23238.0
1980,5840,"Ogden, UT SMA",Ogden,49,Ogden,18839.0
1980,2280,"Durham, NC SMA",Durham,37,Durham,23378.0
1980,8920,"Waterloo, IA SMA",Waterloo,19,Waterloo,21649.0
1980,800,"Bay City, MI SMA",Bay City,26,Bay City,11521.0
1980,1360,"Cedar Rapids, IA SMA",Cedar Rapids,19,Cedar Rapids,30433.0
1980,7920,"Springfield, MO SMA",Springfield,29,Springfield,30893.0
1980,4360,"Lincoln, NE SMA",Lincoln,31,Lincoln,40383.0
1980,2040,"Decatur, IL SMA",Decatur,17,Decatur,25982.0
1980,8320,"Terre Haute, IN SMA",Terre Haute,18,Terre Haute,13795.0
1980,6560,"Pueblo, CO SMA",Pueblo,08,Pueblo,28998.0
1980,5280,"Muncie, IN SMA",Muncie,18,Muncie,18531.0
1980,8440,"Topeka, KS SMA",Topeka,20,Topeka,29017.0
1980,9080,"Wichita Falls, TX SMA",Wichita Falls,48,Wichita Falls,24704.0
1980,320,"Amarillo, TX SMA",Amarillo,48,Amarillo,43304.0
1980,4320,"Lima, OH SMA",Lima,39,Lima,14708.0
1980,4280,"Lexington, KY SMA",Lexington,21,Lexington-Fayette,51667.0
1980,7000,"St. Joseph, MO SMA",St. Joseph,29,St. Joseph,20478.0
1980,4080,"Laredo, TX SMA",Laredo,48,Laredo,36080.0
1980,3800,"Kenosha, WI SMA",Kenosha,55,Kenosha,22049.0
1980,7760,"Sioux Falls, SD SMA",Sioux Falls,46,Sioux Falls,21817.0
1980,7200,"San Angelo, TX SMA",San Angelo,48,San Angelo,19959.0
1980,6360,"Ponce, PR SMA",Ponce,72,,
1980,7440,"San Juan-Rio Piedras, PR SMA",San Juan,72,,
1980,7440,"San Juan-Rio Piedras, PR SMA",Rio Piedras,72,,
1980,3320,"Honolulu, Territory of Hawaii SMA",Honolulu,15,Honolulu,84334.0
1980,4840,"Mayaguez, PR SMA",Mayaguez,72,,
1990,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York city,1686718.0
1990,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark city,78493.0
1990,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago city,722704.0
1990,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles city,863277.0
1990,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia city,379421.0
1990,2160,"Detroit, MI SMA",Detroit,26,Detroit city,302315.0
1990,1120,"Boston, MA SMA",Boston,25,Boston city,109833.0
1990,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh city,73379.0
1990,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco city,116883.0
1990,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland city,92587.0
1990,6480,"Providence, RI SMA",Providence,44,Providence city,37972.0
1990,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis city,100040.0
1990,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland city,136117.0
1990,720,"Baltimore, MD SMA",Baltimore,24,Baltimore city,179869.0
1990,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis city,75950.0
1990,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul city,66916.0
1990,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo city,79537.0
1990,4560,"Lowell, MA SMA",Lowell,25,Lowell city,27001.0
1990,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport city,36992.0
1990,1200,"Brockton, MA SMA",Brockton,25,Brockton city,24605.0
1990,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield city,42098.0
1990,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke city,12669.0
1990,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati city,91352.0
1990,3360,"Houston, TX SMA",Houston,48,Houston city,435894.0
1990,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee city,172140.0
1990,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City city,108032.0
1990,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City city,42648.0
1990,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington city,117092.0
1990,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans city,136462.0
1990,520,"Atlanta, GA SMA",Atlanta,13,Atlanta city,94920.0
1990,7600,"Seattle, WA SMA",Seattle,53,Seattle city,84930.0
1990,6440,"Portland, OR-WA SMA",Portland,41,Portland city,95762.0
1990,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham city,67252.0
1990,1920,"Dallas, TX SMA",Dallas,48,Dallas city,251378.0
1990,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain city,15938.0
1990,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol city,13401.0
1990,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury city,25561.0
1990,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville city,62808.0
1990,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio city,271798.0
1990,2080,"Denver, CO SMA",Denver,08,Denver city,102879.0
1990,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown city,25115.0
1990,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis city (remainder),187387.0
1990,7320,"San Diego, CA SMA",San Diego,06,San Diego city,256062.0
1990,9240,"Worcester, MA SMA",Worcester,25,Worcester city,37843.0
1990,3280,"Hartford, CT SMA",Hartford,09,Hartford city,38390.0
1990,5480,"New Haven, CT SMA",New Haven,09,New Haven city,30936.0
1990,4920,"Memphis, TN SMA",Memphis,47,Memphis city,163914.0
1990,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence city,22143.0
1990,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford city,21773.0
1990,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk city,15757.0
1990,2000,"Dayton, OH SMA",Dayton,39,Dayton city,46999.0
1990,1840,"Columbus, OH SMA",Columbus,39,Columbus city,150051.0
1990,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany city,18029.0
1990,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady city,14493.0
1990,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy city,11557.0
1990,6840,"Rochester, NY SMA",Rochester,36,Rochester city,60182.0
1990,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk city,59987.0
1990,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth city,27857.0
1990,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River city,22546.0
1990,80,"Akron, OH SMA",Akron,39,Akron city,54551.0
1990,5000,"Miami, FL SMA",Miami,12,Miami city,82495.0
1990,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown,42,Allentown city,23042.0
1990,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Bethlehem,42,Bethlehem city,14812.0
1990,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Easton,42,Easton city,6080.0
1990,1480,"Charleston, WV SMA",Charleston,54,Charleston city,12453.0
1990,3840,"Knoxville, TN SMA",Knoxville,47,Knoxville city,32739.0
1990,6200,"Phoenix, AZ SMA",Phoenix,04,Phoenix city,267127.0
1990,9120,"Wilkes-Barre--Hazleton, PA SMA",Wilkes-Barre,42,Wilkes-Barre city,9605.0
1990,9120,"Wilkes-Barre--Hazleton, PA SMA",Hazleton,42,Hazleton city,4917.0
1990,8400,"Toledo, OH-MI SMA",Toledo,39,Toledo city,87203.0
1990,8280,"Tampa-St. Petersburg, FL SMA",Tampa,12,Tampa city,64496.0
1990,8280,"Tampa-St. Petersburg, FL SMA",St. Petersburg,12,St. Petersburg city,47341.0
1990,9000,"Wheeling-Steubenville, WV-OH SMA",Wheeling,54,Wheeling city,7294.0
1990,9000,"Wheeling-Steubenville, WV-OH SMA",Steubenville,39,Steubenville city,4749.0
1990,5400,"New Bedford, MA SMA",New Bedford,25,New Bedford city,24953.0
1990,5920,"Omaha, NE-IA SMA",Omaha,31,Omaha city,85422.0
1990,2800,"Fort Worth, TX SMA",Fort Worth,48,Fort Worth city,119190.0
1990,5880,"Oklahoma City, OK SMA",Oklahoma City,40,Oklahoma City city,115473.0
1990,3680,"Johnstown, PA SMA",Johnstown,42,Johnstown city,6077.0
1990,7160,"Salt Lake City, UT SMA",Salt Lake City,49,Salt Lake City city,39924.0
1990,2840,"Fresno, CA SMA",Fresno,06,Fresno city,112427.0
1990,3600,"Jacksonville, FL SMA",Jacksonville,12,,
1990,5360,"Nashville, TN SMA",Nashville,47,,
1990,8160,"Syracuse, NY SMA",Syracuse,36,Syracuse city,37080.0
1990,2640,"Flint, MI SMA",Flint,26,Flint city,42752.0
1990,6760,"Richmond, VA SMA",Richmond,51,Richmond city,42002.0
1990,3000,"Grand Rapids, MI SMA",Grand Rapids,26,Grand Rapids city,52033.0
1990,7280,"San Bernardino, CA SMA",San Bernardino,06,San Bernardino city,51856.0
1990,1320,"Canton, OH SMA",Canton,39,Canton city,21939.0
1990,3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington,54,Huntington city,10609.0
1990,3400,"Huntington-Ashland, WV-KY-OH SMA",Ashland,21,Ashland city,5213.0
1990,7400,"San Jose, CA SMA",San Jose,06,San Jose city,208928.0
1990,3240,"Harrisburg, PA SMA",Harrisburg,42,Harrisburg city,14112.0
1990,5160,"Mobile, AL SMA",Mobile,01,Mobile city,52064.0
1990,1560,"Chattanooga, TN-GA SMA",Chattanooga,47,Chattanooga city,35536.0
1990,8680,"Utica-Rome, NY SMA",Utica,36,Utica city,15304.0
1990,8680,"Utica-Rome, NY SMA",Rome,36,Rome city,10869.0
1990,6920,"Sacramento, CA SMA",Sacramento,06,Sacramento city,96681.0
1990,9160,"Wilmington, DE-NJ SMA",Wilmington,10,Wilmington city,17822.0
1990,8560,"Tulsa, OK SMA",Tulsa,40,Tulsa city,89490.0
1990,8200,"Tacoma, WA SMA",Tacoma,53,Tacoma city,46010.0
1990,2240,"Duluth-Superior, MN-WI SMA",Duluth,27,Duluth city,19499.0
1990,2240,"Duluth-Superior, MN-WI SMA",Superior,55,Superior city,6730.0
1990,6120,"Peoria, IL SMA",Peoria,17,Peoria city,29465.0
1990,4000,"Lancaster, PA SMA",Lancaster,42,Lancaster city,14551.0
1990,7560,"Scranton, PA SMA",Scranton,42,Scranton city,17129.0
1990,2320,"El Paso, TX SMA",El Paso,48,El Paso city,164298.0
1990,9040,"Wichita, KS SMA",Wichita,20,Wichita city,80560.0
1990,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Davenport,19,Davenport city,25953.0
1990,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Rock Island,17,Rock Island city,10002.0
1990,1960,"Davenport-Rock Island-Moline, IA-IL SMA",Moline,17,Moline city,10748.0
1990,6680,"Reading, PA SMA",Reading,42,Reading city,19886.0
1990,2360,"Erie, PA SMA",Erie,42,Erie city,27271.0
1990,2120,"Des Moines, IA SMA",Des Moines,19,Des Moines city,46704.0
1990,840,"Beaumont-Port Arthur, TX SMA",Beaumont,48,Beaumont city,30617.0
1990,840,"Beaumont-Port Arthur, TX SMA",Port Arthur,48,Port Arthur city,16601.0
1990,1520,"Charlotte, NC SMA",Charlotte,37,Charlotte city,95718.0
1990,7840,"Spokane, WA SMA",Spokane,53,Spokane city,43269.0
1990,1880,"Corpus Christi, TX SMA",Corpus Christi,48,Corpus Christi city,77742.0
1990,1440,"Charleston, SC SMA",Charleston,45,Charleston city,17904.0
1990,9280,"York, PA SMA",York,42,York city,11077.0
1990,3120,"Greensboro-High Point, NC SMA",Greensboro-High Point,37,Greensboro city,39248.0
1990,4400,"Little Rock-North Little Rock, AR SMA",Little Rock,05,Little Rock city,43753.0
1990,4400,"Little Rock-North Little Rock, AR SMA",North Little Rock,05,North Little Rock city,15630.0
1990,8120,"Stockton, CA SMA",Stockton,06,Stockton city,66999.0
1990,7800,"South Bend, IN SMA",South Bend,18,South Bend city,27347.0
1990,1800,"Columbus, GA-AL SMA",Columbus,13,,
1990,3160,"Greenville, SC SMA",Greenville,45,Greenville city,12793.0
1990,8480,"Trenton, NJ SMA",Trenton,34,Trenton city,23577.0
1990,7680,"Shreveport, LA SMA",Shreveport,22,Shreveport city,56445.0
1990,600,"Augusta, GA-SC SMA",Augusta,13,Augusta city,10792.0
1990,2760,"Fort Wayne, IN SMA",Fort Wayne,18,Fort Wayne city,45641.0
1990,960,"Binghamton, NY SMA",Binghamton,36,Binghamton city,10636.0
1990,760,"Baton Rouge, LA SMA",Baton Rouge,22,Baton Rouge city,54777.0
1990,6960,"Saginaw, MI SMA",Saginaw,26,Saginaw city,22242.0
1990,4040,"Lansing, MI SMA",Lansing,26,Lansing city,34914.0
1990,200,"Albuquerque, NM SMA",Albuquerque,35,Albuquerque city,96230.0
1990,6400,"Portland, ME SMA",Portland,23,Portland city,12761.0
1990,7520,"Savannah, GA SMA",Savannah,13,Savannah city,36852.0
1990,2440,"Evansville, IN SMA",Evansville,18,Evansville city,29143.0
1990,3560,"Jackson, MS SMA",Jackson,28,Jackson city,54176.0
1990,4720,"Madison, WI SMA",Madison,55,Madison city,35655.0
1990,640,"Austin, TX SMA",Austin,48,Austin city,107357.0
1990,4680,"Macon, GA SMA",Macon,13,Macon city,28280.0
1990,5240,"Montgomery, AL SMA",Montgomery,01,Montgomery city,51758.0
1990,1760,"Columbia, SC SMA",Columbia,45,Columbia city,19273.0
1990,3200,"Hamilton-Middletown, OH SMA",Hamilton,39,Hamilton city,16726.0
1990,3200,"Hamilton-Middletown, OH SMA",Middletown,39,Middletown city,11845.0
1990,4760,"Manchester, NH SMA",Manchester,33,Manchester city,22936.0
1990,4440,"Lorain-Elyria, OH SMA",Lorain,39,Lorain city,20442.0
1990,4440,"Lorain-Elyria, OH SMA",Elyria,39,Elyria city,15689.0
1990,6880,"Rockford, IL SMA",Rockford,17,Rockford city,36235.0
1990,6640,"Raleigh, NC SMA",Raleigh,37,Raleigh city,40813.0
1990,280,"Altoona, PA SMA",Altoona,42,Altoona city,12562.0
1990,480,"Asheville, NC SMA",Asheville,37,Asheville city,12610.0
1990,8800,"Waco, TX SMA",Waco,48,Waco city,25114.0
1990,6800,"Roanoke, VA SMA",Roanoke,51,Roanoke city,21174.0
1990,6320,"Pittsfield, MA SMA",Pittsfield,25,Pittsfield city,11034.0
1990,3720,"Kalamazoo, MI SMA",Kalamazoo,26,Kalamazoo city,17674.0
