place_fips,state_fips,central_city,under18_2024,year_source
5367000,53,Spokane,49190,ACS 2024 1-yr
4817000,48,Corpus Christi,73207,ACS 2024 1-yr
4513330,45,Charleston,28034,ACS 2024 1-yr
4287048,42,York,10561,ACS 2019-2023 5-yr
3728000,37,Greensboro-High Point,63534,ACS 2024 1-yr
0541000,05,Little Rock,51621,ACS 2024 1-yr
0550450,05,North Little Rock,14492,ACS 2019-2023 5-yr
0675000,06,Stockton,81478,ACS 2024 1-yr
1871000,18,South Bend,24508,ACS 2024 1-yr
1319000,13,Columbus,49613,ACS 2024 1-yr
4530850,45,Greenville,14279,ACS 2024 1-yr
3474000,34,Trenton,29380,ACS 2024 1-yr
2270000,22,Shreveport,43912,ACS 2024 1-yr
1304204,13,Augusta,45248,ACS 2024 1-yr
1825000,18,Fort Wayne,67777,ACS 2024 1-yr
3606607,36,Binghamton,8334,ACS 2019-2023 5-yr
2205000,22,Baton Rouge,47052,ACS 2024 1-yr
2670520,26,Saginaw,11113,ACS 2019-2023 5-yr
2646000,26,Lansing,22872,ACS 2024 1-yr
3502000,35,Albuquerque,109232,ACS 2024 1-yr
2360545,23,Portland,8314,ACS 2024 1-yr
1369000,13,Savannah,28199,ACS 2024 1-yr
1822000,18,Evansville,24479,ACS 2024 1-yr
2836000,28,Jackson,33158,ACS 2024 1-yr
5548000,55,Madison,40150,ACS 2024 1-yr
4805000,48,Austin,175249,ACS 2024 1-yr
1349008,13,Macon,38115,ACS 2024 1-yr
0151000,01,Montgomery,46625,ACS 2024 1-yr
4516000,45,Columbia,25490,ACS 2024 1-yr
3933012,39,Hamilton,15080,ACS 2019-2023 5-yr
3949840,39,Middletown,10982,ACS 2019-2023 5-yr
3345140,33,Manchester,23731,ACS 2024 1-yr
3944856,39,Lorain,12990,ACS 2024 1-yr
3925256,39,Elyria,11349,ACS 2019-2023 5-yr
1765000,17,Rockford,35652,ACS 2024 1-yr
3755000,37,Raleigh,97229,ACS 2024 1-yr
4202184,42,Altoona,9359,ACS 2019-2023 5-yr
3702140,37,Asheville,11998,ACS 2024 1-yr
4876000,48,Waco,29001,ACS 2024 1-yr
5168000,51,Roanoke,20304,ACS 2024 1-yr
2553960,25,Pittsfield,7743,ACS 2019-2023 5-yr
2642160,26,Kalamazoo,14421,ACS 2024 1-yr
1772000,17,Springfield,22284,ACS 2024 1-yr
4828068,48,Galveston,8408,ACS 2019-2023 5-yr
0128696,01,Gadsden,7770,ACS 2019-2023 5-yr
4845000,48,Lubbock,59669,ACS 2024 1-yr
3974118,39,Springfield,14056,ACS 2019-2023 5-yr
5531000,55,Green Bay,25703,ACS 2024 1-yr
3402080,34,Atlantic City,10144,ACS 2019-2023 5-yr
1253000,12,Orlando,73846,ACS 2024 1-yr
5566000,55,Racine,20760,ACS 2024 1-yr
2641420,26,Jackson,7722,ACS 2019-2023 5-yr
1973335,19,Sioux City,22277,ACS 2024 1-yr
4955980,49,Ogden,18151,ACS 2024 1-yr
3719000,37,Durham,56379,ACS 2024 1-yr
1982425,19,Waterloo,14873,ACS 2024 1-yr
2606020,26,Bay City,6687,ACS 2019-2023 5-yr
1912000,19,Cedar Rapids,28796,ACS 2024 1-yr
2970000,29,Springfield,28859,ACS 2024 1-yr
3128000,31,Lincoln,63741,ACS 2024 1-yr
1718823,17,Decatur,14687,ACS 2024 1-yr
1875428,18,Terre Haute,11587,ACS 2019-2023 5-yr
0862000,08,Pueblo,21282,ACS 2024 1-yr
1851876,18,Muncie,9154,ACS 2024 1-yr
2071000,20,Topeka,28166,ACS 2024 1-yr
4879000,48,Wichita Falls,21624,ACS 2024 1-yr
4803000,48,Amarillo,49960,ACS 2024 1-yr
3943554,39,Lima,8456,ACS 2019-2023 5-yr
2146027,21,Lexington,68038,ACS 2024 1-yr
2964550,29,St. Joseph,14666,ACS 2024 1-yr
4841464,48,Laredo,79073,ACS 2024 1-yr
5539225,55,Kenosha,23410,ACS 2024 1-yr
4659020,46,Sioux Falls,46793,ACS 2024 1-yr
4864472,48,San Angelo,21523,ACS 2024 1-yr
7263820,72,Ponce,15880,ACS 2024 1-yr
7276770,72,San Juan,45316,ACS 2024 1-yr
7276770,72,Rio Piedras,45316,ACS 2024 1-yr
1571550,15,Honolulu,58708,ACS 2024 1-yr
7252431,72,Mayaguez,9338,ACS 2019-2023 5-yr
