fips_5,pop_under18_2024
12099,296112.0
51047,13895.0
36047,562076.0
13045,30575.0
13067,172421.0
13151,63828.0
54037,12480.0
48039,103250.0
48251,53353.0
34007,119827.0
37097,44800.0
13227,6700.0
48015,7635.0
48397,35636.0
34025,132733.0
24015,23312.0
51179,43878.0
17037,21383.0
13085,6862.0
48439,551303.0
48491,169686.0
34019,24967.0
24021,69133.0
45091,69965.0
51059,258034.0
51683,11621.0
18073,7494.0
37025,60351.0
37109,19875.0
37119,269794.0
48055,11868.0
34029,166276.0
34035,73710.0
42091,183319.0
36005,332553.0
17097,162161.0
13013,23700.0
13089,171001.0
13159,3979.0
48139,60523.0
34005,96272.0
04013,1014730.0
04021,108429.0
45057,24040.0
36103,314488.0
36119,208740.0
17111,69840.0
13135,252809.0
11001,129831.0
18127,36557.0
36079,18840.0
13297,25771.0
24033,210097.0
51043,3016.0
18111,2977.0
36059,295441.0
17089,119191.0
17197,161584.0
13223,46930.0
48113,651464.0
48209,64072.0
34033,14449.0
45023,6972.0
51153,128386.0
36087,105541.0
13117,69171.0
13255,16130.0
48167,84636.0
48291,35266.0
48367,43688.0
48407,6184.0
48473,15486.0
34013,205811.0
37071,53554.0
13121,222302.0
48021,29736.0
48231,29384.0
48497,19799.0
42029,119637.0
06037,1944946.0
12011,415514.0
12086,560291.0
51510,28286.0
51610,3545.0
18089,114054.0
37007,4413.0
13063,76197.0
13113,27209.0
48121,235469.0
34017,141223.0
51061,17455.0
51157,1234.0
51187,9161.0
51630,6385.0
13057,63700.0
13077,35682.0
13211,4812.0
48453,267621.0
34027,106446.0
42045,127662.0
51107,113295.0
51177,36430.0
36081,439104.0
17043,203122.0
37159,33404.0
13143,7776.0
13149,2725.0
13231,4732.0
48071,15413.0
48201,1272618.0
48339,190255.0
24031,243481.0
42017,127178.0
42101,326963.0
51013,42416.0
17093,37416.0
13097,37527.0
48085,301180.0
34003,201694.0
34015,65160.0
34037,28630.0
24017,40860.0
06059,642905.0
51600,6948.0
36061,220513.0
17031,1053196.0
17063,12700.0
13035,5641.0
13187,5957.0
13247,22534.0
34023,187435.0
34031,123669.0
34039,139069.0
10003,122635.0
51685,3498.0
36085,105407.0
37179,65177.0
13015,26491.0
13199,4393.0
13217,30587.0
48157,248961.0
48257,57044.0
