csa_code,csa_short,CSA Title,County/County Equivalent,State Name,state_fips,county_fips,fips_5,is_inner,pop_under18,pop_under18_2024,delta_under18,delta_pct
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Carroll County,Maryland,24,13,24013,False,39918.0,39019.0,-899.0,-2.252116839521018
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Harford County,Maryland,24,25,24025,False,59423.0,58265.0,-1158.0,-1.9487403867189474
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Howard County,Maryland,24,27,24027,False,74927.0,78547.0,3620.0,4.831369199354038
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Queen Anne's County,Maryland,24,35,24035,False,11277.0,11079.0,-198.0,-1.7557861133280128
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Baltimore city,Maryland,24,510,24510,True,131583.0,118191.0,-13392.0,-10.177606529718885
288,Houston,"Houston-Pasadena, TX",Matagorda County,Texas,48,321,48321,False,9519.0,9431.0,-88.0,-0.9244668557621599
206,Dallas,"Dallas-Fort Worth, TX-OK",Fannin County,Texas,48,147,48147,False,7470.0,8009.0,539.0,7.215528781793842
288,Houston,"Houston-Pasadena, TX",Washington County,Texas,48,477,48477,False,7431.0,7776.0,345.0,4.642712959224869
408,New York,"New York-Newark, NY-NJ-CT-PA",Greater Bridgeport Planning Region,Connecticut,09,120,09120,False,,73108.0,,
408,New York,"New York-Newark, NY-NJ-CT-PA",Western Connecticut Planning Region,Connecticut,09,190,09190,False,,136684.0,,
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Gordon County,Georgia,13,129,13129,False,14727.0,13822.0,-905.0,-6.145175527941875
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Dorchester County,Maryland,24,19,24019,False,6997.0,6806.0,-191.0,-2.729741317707589
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Polk County,Georgia,13,233,13233,False,10934.0,11166.0,232.0,2.1218218401316995
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Franklin County,Pennsylvania,42,55,42055,False,35672.0,34416.0,-1256.0,-3.5209688270912762
176,Chicago,"Chicago-Naperville, IL-IN-WI",Cook County,Illinois,17,31,17031,True,1221148.0,1053196.0,-167952.0,-13.753615450379478
176,Chicago,"Chicago-Naperville, IL-IN-WI",DuPage County,Illinois,17,43,17043,False,225503.0,203122.0,-22381.0,-9.924923393480354
176,Chicago,"Chicago-Naperville, IL-IN-WI",Grundy County,Illinois,17,63,17063,False,13431.0,12700.0,-731.0,-5.442632715359988
176,Chicago,"Chicago-Naperville, IL-IN-WI",McHenry County,Illinois,17,111,17111,False,81970.0,69840.0,-12130.0,-14.7980968647066
176,Chicago,"Chicago-Naperville, IL-IN-WI",Will County,Illinois,17,197,17197,False,192683.0,161584.0,-31099.0,-16.139981212665365
176,Chicago,"Chicago-Naperville, IL-IN-WI",DeKalb County,Illinois,17,37,17037,False,23261.0,21383.0,-1878.0,-8.073599587292033
176,Chicago,"Chicago-Naperville, IL-IN-WI",Kane County,Illinois,17,89,17089,False,147772.0,119191.0,-28581.0,-19.341282516308908
176,Chicago,"Chicago-Naperville, IL-IN-WI",Kendall County,Illinois,17,93,17093,False,36182.0,37416.0,1234.0,3.410535625449118
176,Chicago,"Chicago-Naperville, IL-IN-WI",Lake County,Illinois,17,97,17097,False,188421.0,162161.0,-26260.0,-13.936875401361846
176,Chicago,"Chicago-Naperville, IL-IN-WI",Jasper County,Indiana,18,73,18073,False,8419.0,7494.0,-925.0,-10.98705309419171
176,Chicago,"Chicago-Naperville, IL-IN-WI",Lake County,Indiana,18,89,18089,False,125261.0,114054.0,-11207.0,-8.946918833475703
176,Chicago,"Chicago-Naperville, IL-IN-WI",Newton County,Indiana,18,111,18111,False,3164.0,2977.0,-187.0,-5.910240202275601
176,Chicago,"Chicago-Naperville, IL-IN-WI",Porter County,Indiana,18,127,18127,False,39398.0,36557.0,-2841.0,-7.211025940403067
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Habersham County,Georgia,13,137,13137,False,10228.0,10728.0,500.0,4.888541259288228
206,Dallas,"Dallas-Fort Worth, TX-OK",Navarro County,Texas,48,349,48349,False,12868.0,14954.0,2086.0,16.210755362138638
206,Dallas,"Dallas-Fort Worth, TX-OK",Collin County,Texas,48,85,48085,False,230022.0,301180.0,71158.0,30.935301840693498
206,Dallas,"Dallas-Fort Worth, TX-OK",Dallas County,Texas,48,113,48113,True,660186.0,651464.0,-8722.0,-1.3211428294450351
206,Dallas,"Dallas-Fort Worth, TX-OK",Denton County,Texas,48,121,48121,False,186012.0,235469.0,49457.0,26.588069586908368
206,Dallas,"Dallas-Fort Worth, TX-OK",Ellis County,Texas,48,139,48139,False,43309.0,60523.0,17214.0,39.74693481724353
206,Dallas,"Dallas-Fort Worth, TX-OK",Hunt County,Texas,48,231,48231,False,21378.0,29384.0,8006.0,37.44971465993077
206,Dallas,"Dallas-Fort Worth, TX-OK",Kaufman County,Texas,48,257,48257,False,29948.0,57044.0,27096.0,90.4768264992654
206,Dallas,"Dallas-Fort Worth, TX-OK",Rockwall County,Texas,48,397,48397,False,23643.0,35636.0,11993.0,50.725373260584526
206,Dallas,"Dallas-Fort Worth, TX-OK",Johnson County,Texas,48,251,48251,False,40913.0,53353.0,12440.0,30.405983428250188
206,Dallas,"Dallas-Fort Worth, TX-OK",Parker County,Texas,48,367,48367,False,29601.0,43688.0,14087.0,47.589608459173675
206,Dallas,"Dallas-Fort Worth, TX-OK",Tarrant County,Texas,48,439,48439,True,513110.0,551303.0,38193.0,7.4434331819687785
206,Dallas,"Dallas-Fort Worth, TX-OK",Wise County,Texas,48,497,48497,False,15516.0,19799.0,4283.0,27.603763856664088
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Kent County,Delaware,10,1,10001,False,40463.0,43282.0,2819.0,6.966858611571065
206,Dallas,"Dallas-Fort Worth, TX-OK",Bryan County,Oklahoma,40,13,40013,False,9999.0,11926.0,1927.0,19.27192719271927
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Talbot County,Maryland,24,41,24041,False,7295.0,6986.0,-309.0,-4.235777930089101
288,Houston,"Houston-Pasadena, TX",Wharton County,Texas,48,481,48481,False,10905.0,10544.0,-361.0,-3.3104080696928015
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Hall County,Georgia,13,139,13139,False,50392.0,51342.0,950.0,1.8852198761708208
206,Dallas,"Dallas-Fort Worth, TX-OK",Cooke County,Texas,48,97,48097,False,9642.0,10124.0,482.0,4.998962870773698
206,Dallas,"Dallas-Fort Worth, TX-OK",Hood County,Texas,48,221,48221,False,10872.0,13835.0,2963.0,27.25349521707138
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Washington County,Maryland,24,43,24043,False,33659.0,33714.0,55.0,0.16340354734246412
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Berkeley County,West Virginia,54,3,54003,False,26138.0,31190.0,5052.0,19.328181192134057
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Morgan County,West Virginia,54,65,54065,False,3493.0,2940.0,-553.0,-15.831663326653306
408,New York,"New York-Newark, NY-NJ-CT-PA",Pike County,Pennsylvania,42,103,42103,False,12514.0,10536.0,-1978.0,-15.806296947418891
288,Houston,"Houston-Pasadena, TX",Austin County,Texas,48,15,48015,False,7085.0,7635.0,550.0,7.762879322512351
288,Houston,"Houston-Pasadena, TX",Brazoria County,Texas,48,39,48039,False,87843.0,103250.0,15407.0,17.539246155072117
288,Houston,"Houston-Pasadena, TX",Chambers County,Texas,48,71,48071,False,10028.0,15413.0,5385.0,53.699641005185484
288,Houston,"Houston-Pasadena, TX",Fort Bend County,Texas,48,157,48157,False,176335.0,248961.0,72626.0,41.186378200584116
288,Houston,"Houston-Pasadena, TX",Galveston County,Texas,48,167,48167,False,74286.0,84636.0,10350.0,13.932638720620306
288,Houston,"Houston-Pasadena, TX",Harris County,Texas,48,201,48201,True,1159880.0,1272618.0,112738.0,9.719798599855158
288,Houston,"Houston-Pasadena, TX",Liberty County,Texas,48,291,48291,False,19242.0,35266.0,16024.0,83.27616671863632
288,Houston,"Houston-Pasadena, TX",Montgomery County,Texas,48,339,48339,False,128982.0,190255.0,61273.0,47.5050782279698
288,Houston,"Houston-Pasadena, TX",San Jacinto County,Texas,48,407,48407,False,6326.0,6184.0,-142.0,-2.2447043945621243
