year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
1990,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee city,172140
1990,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City city,108032
1990,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City city,42648
1990,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington city,117092
1990,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans city,136462
1990,520,"Atlanta, GA SMA",Atlanta,13,Atlanta city,94920
1990,7600,"Seattle, WA SMA",Seattle,53,Seattle city,84930
1990,6440,"Portland, OR-WA SMA",Portland,41,Portland city,95762
1990,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham city,67252
1990,1920,"Dallas, TX SMA",Dallas,48,Dallas city,251378
1990,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain city,15938
1990,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol city,13401
1990,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury city,25561
1990,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville city,62808
1990,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio city,271798
1990,2080,"Denver, CO SMA",Denver,08,Denver city,102879
1990,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown city,25115
1990,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis city (remainder),187387
1990,7320,"San Diego, CA SMA",San Diego,06,San Diego city,256062
1990,9240,"Worcester, MA SMA",Worcester,25,Worcester city,37843
1990,3280,"Hartford, CT SMA",Hartford,09,Hartford city,38390
1990,5480,"New Haven, CT SMA",New Haven,09,New Haven city,30936
1990,4920,"Memphis, TN SMA",Memphis,47,Memphis city,163914
1990,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence city,22143
1990,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford city,21773
1990,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk city,15757
1990,2000,"Dayton, OH SMA",Dayton,39,Dayton city,46999
1990,1840,"Columbus, OH SMA",Columbus,39,Columbus city,150051
1990,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany city,18029
1990,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady city,14493
1990,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy city,11557
1990,6840,"Rochester, NY SMA",Rochester,36,Rochester city,60182
1990,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk city,59987
1990,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth city,27857
1990,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River city,22546
1990,80,"Akron, OH SMA",Akron,39,Akron city,54551
2000,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York city,1940269
2000,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark city,76419
2000,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago city,759840
2000,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles city,981311
2000,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia city,383469
2000,2160,"Detroit, MI SMA",Detroit,26,Detroit city,295709
2000,1120,"Boston, MA SMA",Boston,25,Boston city,116559
2000,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh city,66508
2000,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco city,112802
2000,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland city,99759
2000,6480,"Providence, RI SMA",Providence,44,Providence city,45277
2000,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis city,89657
2000,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland city,136403
2000,720,"Baltimore, MD SMA",Baltimore,24,Baltimore city,161353
2000,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis city,84169
2000,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul city,77827
2000,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo city,76957
2000,4560,"Lowell, MA SMA",Lowell,25,Lowell city,28341
2000,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport city,39672
2000,1200,"Brockton, MA SMA",Brockton,25,Brockton city,26254
2000,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield city,44027
2000,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke city,11740
2000,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati city,81144
2000,3360,"Houston, TX SMA",Houston,48,Houston city,536658
2000,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee city,170984
2000,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City city,111986
2000,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City city,41949
2000,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington city,114992
2000,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans city,129408
2000,520,"Atlanta, GA SMA",Atlanta,13,Atlanta city,93004
2000,7600,"Seattle, WA SMA",Seattle,53,Seattle city,87827
2000,6440,"Portland, OR-WA SMA",Portland,41,Portland city,111454
2000,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham city,60807
2000,1920,"Dallas, TX SMA",Dallas,48,Dallas city,315576
2000,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain city,17289
2000,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol city,13922
2000,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury city,28454
2000,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville city,60609
