SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,015,New York,Chemung County,5,81279,40382,40897,4150,2139,2011,8665,4394,4271,4142,2119,2023,6661,3353,3308,66430,32807,33623,64322,31730,32592,29865,15385,14480,20066,10426,9640,20623,10275,10348,16972,7676,9296,4150,2139,2011,4680,2389,2291,4989,2518,2471,4919,2503,2416,4880,2456,2424,4690,2523,2167,5245,2763,2482,5071,2587,2484,5060,2553,2507,4598,2370,2228,4859,2442,2417,5328,2610,2718,5838,2853,2985,5485,2671,2814,4468,2097,2371,3248,1457,1791,1943,806,1137,1828,645,1183,42.0,40.6,43.4
050,36,015,New York,Chemung County,6,81115,40353,40762,4182,2135,2047,8495,4312,4183,4073,2088,1985,6635,3385,3250,66439,32873,33566,64365,31818,32547,29874,15465,14409,20172,10509,9663,20243,10104,10139,17315,7820,9495,4182,2135,2047,4592,2353,2239,4909,2476,2433,4849,2471,2378,4853,2485,2368,4671,2498,2173,5215,2756,2459,5176,2689,2487,5110,2566,2544,4661,2377,2284,4683,2357,2326,5169,2545,2624,5730,2825,2905,5492,2647,2845,4527,2162,2365,3446,1549,1897,2019,823,1196,1831,639,1192,42.1,40.6,43.6
050,36,017,New York,Chenango County,1,47229,23790,23439,2415,1229,1186,5052,2573,2479,2293,1211,1082,3374,1744,1630,38637,19388,19249,37469,18777,18692,15637,7999,7638,10537,5350,5187,13663,6886,6777,9895,4797,5098,2415,1229,1186,2736,1374,1362,2883,1505,1378,2704,1408,1296,2396,1241,1155,2739,1363,1376,2494,1272,1222,2672,1384,1288,2632,1331,1301,2735,1379,1356,3180,1612,1568,3817,1888,1929,3931,2007,1924,3163,1617,1546,2634,1299,1335,1862,913,949,1157,545,612,1079,423,656,44.9,44.2,45.7
050,36,017,New York,Chenango County,2,47079,23701,23378,2408,1216,1192,5032,2567,2465,2296,1211,1085,3347,1726,1621,38506,19316,19190,37343,18707,18636,15592,7966,7626,10519,5332,5187,13569,6834,6735,9908,4815,5093,2408,1216,1192,2725,1369,1356,2877,1501,1376,2685,1404,1281,2388,1230,1158,2709,1344,1365,2509,1277,1232,2678,1384,1294,2623,1327,1296,2696,1362,1334,3155,1599,1556,3799,1873,1926,3919,2000,1919,3196,1634,1562,2642,1310,1332,1845,900,945,1151,543,608,1074,428,646,44.9,44.2,45.6
050,36,017,New York,Chenango County,3,46572,23451,23121,2363,1224,1139,4952,2497,2455,2300,1204,1096,3290,1720,1570,38092,19118,18974,36957,18526,18431,15446,7907,7539,10440,5283,5157,13158,6639,6519,10069,4884,5185,2363,1224,1139,2682,1344,1338,2854,1453,1401,2609,1382,1227,2397,1242,1155,2581,1281,1300,2597,1316,1281,2662,1369,1293,2600,1317,1283,2540,1287,1253,3105,1572,1533,3652,1812,1840,3861,1968,1893,3262,1652,1610,2716,1360,1356,1838,891,947,1182,554,628,1071,427,644,44.9,44.2,45.6
050,36,017,New York,Chenango County,4,46301,23303,22998,2322,1168,1154,4895,2507,2388,2363,1240,1123,3186,1655,1531,37872,18998,18874,36721,18388,18333,15420,7896,7524,10485,5319,5166,12822,6483,6339,10228,4931,5297,2322,1168,1154,2666,1370,1296,2843,1455,1388,2583,1371,1212,2352,1206,1146,2471,1236,1235,2717,1367,1350,2678,1386,1292,2619,1330,1289,2497,1254,1243,3061,1531,1530,3500,1764,1736,3764,1934,1830,3391,1691,1700,2643,1322,1321,1924,931,993,1205,566,639,1065,421,644,44.8,44.1,45.5
050,36,017,New York,Chenango County,5,45875,23101,22774,2293,1157,1136,4804,2454,2350,2360,1239,1121,3108,1631,1477,37584,18870,18714,36418,18251,18167,15292,7853,7439,10404,5280,5124,12458,6318,6140,10448,5022,5426,2293,1157,1136,2606,1354,1252,2778,1397,1381,2589,1379,1210,2299,1194,1105,2419,1224,1195,2704,1354,1350,2612,1352,1260,2669,1350,1319,2484,1267,1217,2954,1463,1491,3322,1687,1635,3698,1901,1797,3436,1707,1729,2667,1324,1343,1996,952,1044,1268,602,666,1081,437,644,44.9,44.2,45.7
050,36,017,New York,Chenango County,6,45776,22996,22780,2327,1178,1149,4723,2432,2291,2352,1209,1143,3121,1655,1466,37571,18800,18771,36374,18177,18197,15312,7844,7468,10408,5266,5142,12129,6116,6013,10716,5140,5576,2327,1178,1149,2513,1310,1203,2779,1408,1371,2595,1373,1222,2309,1205,1104,2388,1205,1183,2677,1327,1350,2634,1340,1294,2709,1394,1315,2537,1299,1238,2768,1361,1407,3200,1620,1580,3624,1836,1788,3482,1727,1755,2689,1336,1353,2095,992,1103,1324,625,699,1126,460,666,44.9,44.1,45.8
050,36,019,New York,Clinton County,1,79843,41110,38733,3799,1945,1854,7511,3883,3628,3312,1696,1616,9755,4849,4906,66881,34446,32435,65221,33586,31635,31771,16961,14810,19544,10835,8709,21762,11244,10518,14160,6658,7502,3799,1945,1854,4094,2113,1981,4257,2189,2068,5251,2634,2617,6976,3492,3484,4935,2692,2243,4875,2788,2087,4989,2726,2263,4745,2629,2116,4760,2575,2185,5139,2701,2438,6104,3098,3006,5759,2870,2889,4673,2336,2337,3835,1874,1961,2449,1161,1288,1652,706,946,1551,581,970,40.7,40.0,41.7
050,36,019,New York,Clinton County,2,79715,41015,38700,3755,1924,1831,7496,3880,3616,3319,1696,1623,9732,4835,4897,66808,34375,32433,65145,33515,31630,31733,16912,14821,19523,10803,8720,21637,11171,10466,14253,6706,7547,3755,1924,1831,4086,2121,1965,4251,2181,2070,5234,2622,2612,6976,3487,3489,4915,2678,2237,4856,2769,2087,4994,2729,2265,4758,2627,2131,4705,2541,2164,5092,2684,2408,6071,3071,3000,5769,2875,2894,4709,2354,2355,3885,1895,1990,2454,1164,1290,1652,717,935,1553,576,977,40.8,40.0,41.7
