state,year,bin,share
Illinois,2005,<$50K,33.49541112567896
Illinois,2005,$50–100K,28.366360741711933
Illinois,2005,$100–200K,27.861022663420115
Illinois,2005,$200K+,10.277205469188987
Illinois,2006,<$50K,33.90728623139041
Illinois,2006,$50–100K,28.86322712258853
Illinois,2006,$100–200K,25.071529309525825
Illinois,2006,$200K+,12.15795733649523
Illinois,2007,<$50K,30.802293337330433
Illinois,2007,$50–100K,28.695195982912384
Illinois,2007,$100–200K,26.111818931274826
Illinois,2007,$200K+,14.39069174848235
Illinois,2008,<$50K,29.207354910349782
Illinois,2008,$50–100K,28.65500179627029
Illinois,2008,$100–200K,27.70951043469741
Illinois,2008,$200K+,14.428132858682519
Illinois,2009,<$50K,36.43829237835207
Illinois,2009,$50–100K,26.859694795436745
Illinois,2009,$100–200K,23.70393887442589
Illinois,2009,$200K+,12.9980739517853
Illinois,2010,<$50K,34.70622589815602
Illinois,2010,$50–100K,27.282213805364457
Illinois,2010,$100–200K,27.384847938299277
Illinois,2010,$200K+,10.626712358180242
Illinois,2011,<$50K,31.97125721921919
Illinois,2011,$50–100K,26.903353786824376
Illinois,2011,$100–200K,28.40846561825185
Illinois,2011,$200K+,12.716923375704582
Illinois,2012,<$50K,36.24335769385174
Illinois,2012,$50–100K,29.29909910687692
Illinois,2012,$100–200K,22.80766126073237
Illinois,2012,$200K+,11.649881938538973
Illinois,2013,<$50K,30.21461662097003
Illinois,2013,$50–100K,27.55450505814503
Illinois,2013,$100–200K,24.551763259903563
Illinois,2013,$200K+,17.679115060981374
Illinois,2014,<$50K,32.87671734481648
Illinois,2014,$50–100K,24.37604358906758
Illinois,2014,$100–200K,29.408339924422183
Illinois,2014,$200K+,13.338899141693764
Illinois,2015,<$50K,31.442995802632396
Illinois,2015,$50–100K,28.386844595112937
Illinois,2015,$100–200K,25.334346449041618
Illinois,2015,$200K+,14.835813153213051
Illinois,2016,<$50K,30.836924913420365
Illinois,2016,$50–100K,27.23979262528889
Illinois,2016,$100–200K,26.580468744577928
Illinois,2016,$200K+,15.342813716712818
Illinois,2017,<$50K,23.947929106503093
Illinois,2017,$50–100K,28.274617305395722
Illinois,2017,$100–200K,32.10597383563131
Illinois,2017,$200K+,15.671479752469871
Illinois,2018,<$50K,26.263828373965097
Illinois,2018,$50–100K,25.510236357454076
Illinois,2018,$100–200K,30.417282798649385
Illinois,2018,$200K+,17.80865246993144
Illinois,2019,<$50K,25.54002589255721
Illinois,2019,$50–100K,26.53836137102223
Illinois,2019,$100–200K,29.498643094122844
Illinois,2019,$200K+,18.42296964229772
Illinois,2021,<$50K,24.813689824462262
Illinois,2021,$50–100K,22.836859393211597
Illinois,2021,$100–200K,28.450888284533605
Illinois,2021,$200K+,23.898562497792533
Illinois,2022,<$50K,23.53892848994379
Illinois,2022,$50–100K,27.518892123039056
Illinois,2022,$100–200K,29.682584677502987
Illinois,2022,$200K+,19.259594709514165
Illinois,2023,<$50K,25.770506871570763
Illinois,2023,$50–100K,26.60138439272569
Illinois,2023,$100–200K,26.455043519276277
Illinois,2023,$200K+,21.17306521642727
Illinois,2024,<$50K,24.163384794762425
Illinois,2024,$50–100K,28.530266618015276
Illinois,2024,$100–200K,27.077435400598077
Illinois,2024,$200K+,20.228913186624222
Indiana,2005,<$50K,31.73368380269385
Indiana,2005,$50–100K,33.18088929067939
Indiana,2005,$100–200K,24.910926591356272
Indiana,2005,$200K+,10.174500315270487
Indiana,2006,<$50K,34.66818261592815
Indiana,2006,$50–100K,29.59458531411435
Indiana,2006,$100–200K,27.18788868455792
Indiana,2006,$200K+,8.549343385399577
Indiana,2007,<$50K,34.39724156870523
Indiana,2007,$50–100K,30.841641937920038
Indiana,2007,$100–200K,24.69238456315938
Indiana,2007,$200K+,10.06873193021535
Indiana,2008,<$50K,31.6716380288199
Indiana,2008,$50–100K,29.9978994244423
Indiana,2008,$100–200K,27.525101877914548
Indiana,2008,$200K+,10.805360668823258
Indiana,2009,<$50K,30.326137963397464
Indiana,2009,$50–100K,29.65430940090724
Indiana,2009,$100–200K,32.0913499139684
Indiana,2009,$200K+,7.928202721726889
Indiana,2010,<$50K,35.97826995403259
Indiana,2010,$50–100K,30.7321353949018
Indiana,2010,$100–200K,23.221897200167156
Indiana,2010,$200K+,10.067697450898454
Indiana,2011,<$50K,39.896075743568495
Indiana,2011,$50–100K,31.092001657687522
Indiana,2011,$100–200K,22.60910452994995
Indiana,2011,$200K+,6.402818068794032
Indiana,2012,<$50K,33.36385764712328
Indiana,2012,$50–100K,30.422566077312606
Indiana,2012,$100–200K,26.225081593838784
Indiana,2012,$200K+,9.988494681725328
Indiana,2013,<$50K,35.76367908694193
Indiana,2013,$50–100K,31.81688486069151
Indiana,2013,$100–200K,21.71450151057402
Indiana,2013,$200K+,10.704934541792548
Indiana,2014,<$50K,31.548220594499337
Indiana,2014,$50–100K,31.726954589872296
Indiana,2014,$100–200K,24.181707327258607
Indiana,2014,$200K+,12.543117488369763
Indiana,2015,<$50K,27.454729237351224
Indiana,2015,$50–100K,31.01918963180041
Indiana,2015,$100–200K,31.57317369398453
Indiana,2015,$200K+,9.952907436863839
Indiana,2016,<$50K,29.051241925817408
Indiana,2016,$50–100K,30.835885995871347
Indiana,2016,$100–200K,27.368149430645268
Indiana,2016,$200K+,12.744722647665979
Indiana,2017,<$50K,35.53372400321728
Indiana,2017,$50–100K,27.963263899148078
Indiana,2017,$100–200K,24.230560890333383
Indiana,2017,$200K+,12.272451207301259
Indiana,2018,<$50K,32.98023778281443
Indiana,2018,$50–100K,29.563799753469322
Indiana,2018,$100–200K,24.05503200922502
Indiana,2018,$200K+,13.400930454491233
Indiana,2019,<$50K,23.678866409032356
Indiana,2019,$50–100K,28.650450860043946
Indiana,2019,$100–200K,33.05675532317951
Indiana,2019,$200K+,14.613927407744184
Indiana,2021,<$50K,27.92323967765021
Indiana,2021,$50–100K,24.992221288776875
Indiana,2021,$100–200K,31.932387442048597
Indiana,2021,$200K+,15.152151591524316
Indiana,2022,<$50K,27.494736182969497
Indiana,2022,$50–100K,31.05691184182719
Indiana,2022,$100–200K,32.29126715143356
Indiana,2022,$200K+,9.157084823769754
Indiana,2023,<$50K,29.392300409632455
Indiana,2023,$50–100K,29.420421630843357
Indiana,2023,$100–200K,28.601156719565807
Indiana,2023,$200K+,12.58612123995838
Indiana,2024,<$50K,27.42746230030359
Indiana,2024,$50–100K,28.803563430050268
Indiana,2024,$100–200K,28.713150516763715
Indiana,2024,$200K+,15.05582375288243
Iowa,2005,<$50K,33.2389224572004
Iowa,2005,$50–100K,36.55085599194361
Iowa,2005,$100–200K,26.101460221550855
Iowa,2005,$200K+,4.108761329305136
Iowa,2006,<$50K,37.45799622146267
Iowa,2006,$50–100K,30.430205223611534
