country,pti_2005,pti_2023_25,happiness_score,pti_change_pct,anglophone
Australia,88.17437969427708,120.03864785043807,6.916,36.13778545042503,True
Austria,75.74923915519392,117.42756297867157,6.845,55.02144217988476,False
Belgium,89.1773369556554,97.91460564494008,6.926,9.79763355529375,False
Canada,79.0588380362695,136.0258828074797,6.741,72.05651662256362,True
Switzerland,77.60581407494938,126.05380565287574,7.018,62.42830148155747,False
Germany,101.521790438614,110.11620208286733,6.882,8.46558320841475,False
Denmark,105.97564927110535,103.46064191835693,7.539,-2.3731936251832453,False
Spain,131.40347490395726,117.04886553107883,6.54,-10.924071363691256,False
Finland,102.43417726357025,81.65071739939837,7.764,-20.289575627375413,False
France,100.81773894918162,96.25579590062296,6.586,-4.52494084484295,False
United Kingdom,104.66673379825875,107.30747603892816,6.694,2.523000522553187,True
Ireland,145.510578195685,117.06932030388576,6.928,-19.545835254362732,True
Italy,111.491180617352,86.78431086455866,6.574,-22.160380413935687,False
Japan,104.596001342236,115.17635352335958,6.13,10.115446140722817,False
South Korea,114.2887099676525,78.36942030063837,6.04,-31.42855464654425,False
Norway,78.73838773406275,109.66313695434995,7.242,39.27531425298532,False
New Zealand,87.8549289787228,109.37764817895349,6.995,24.498021283977355,True
Portugal,125.234158192136,151.93377615250665,6.029,21.319756802619082,False
Sweden,75.6870358821272,96.54786238167328,7.255,27.5619546417885,False
United States,130.72834944813275,127.9719524571305,6.816,-2.1084921538735313,True
