country,pti_2005,pti_2023,happiness_2023,pti_change_pct,anglophone
Australia,88.17437969427708,118.15910032263174,7.0569,34.006159989238704,True
Austria,75.74923915519392,123.51964224599024,6.9047,63.06387182704902,False
Belgium,89.1773369556554,97.09790039298952,6.8942,8.881812025035817,False
Canada,79.0588380362695,138.6812383549075,6.8996,75.41522465999975,True
Switzerland,77.60581407494938,123.97693137427599,7.0602,59.75211761137223,False
Germany,101.521790438614,113.5893527529485,6.7185,11.886672075224336,False
Denmark,105.97564927110535,102.383939572957,7.5827,-3.3891839520228784,False
Spain,131.40347490395726,113.6138014998585,6.4209,-13.53820621342109,False
Finland,102.43417726357025,85.52232564999696,7.7407,-16.509969685272054,False
France,100.81773894918162,102.14708337621423,6.609,1.3185620317300417,False
United Kingdom,104.66673379825875,111.5682364110115,6.749,6.593788076023421,True
Ireland,145.510578195685,116.26092530315,6.838,-20.101392802659056,True
Italy,111.491180617352,86.92455869355292,6.3235,-22.03458765775742,False
Japan,104.596001342236,116.124423575074,6.0598,11.021857513574783,False
South Korea,114.2887099676525,82.02739260296822,6.0579,-28.22791277792469,False
Norway,78.73838773406275,112.51013043828274,7.3017,42.891077244664125,False
New Zealand,87.8549289787228,113.82996317006649,7.0292,29.565824585248347,True
Portugal,125.234158192136,147.44871002255675,6.0296,17.738412707129704,False
Sweden,75.6870358821272,98.93611414688182,7.3441,30.717385076305614,False
United States,130.72834944813275,127.67240409974025,6.7248,-2.3376301783760822,True
