country,pti_early,happiness_early,anglophone,pti_late,happiness_late,pti_change,pti_pct_change,happiness_change
Australia,86.61196140064668,7.344625,True,115.49860449105533,7.104533333333333,28.886643090408654,33.3517941670733,-0.24009166666666637
Austria,86.43548500436685,7.227316,False,130.45253333356314,7.055,44.017048329196285,50.92474268753448,-0.17231600000000036
Belgium,98.71552773420515,7.113178,False,101.33185309577084,6.852766666666667,2.6163253615656856,2.6503686113194203,-0.2604113333333329
Canada,93.5480779541127,7.499089,True,139.34679710983002,6.9618,45.79871915571732,48.957413297344885,-0.5372889999999995
Denmark,94.99715556750785,7.85574,False,110.38494457345593,7.601766666666666,15.387789005948079,16.198157633270462,-0.2539733333333336
Finland,102.237629275981,7.579009,False,92.89179817416891,7.788633333333333,-9.345831101812095,-9.141283075514096,0.2096243333333332
France,108.144449620429,6.746459,False,107.55647441697799,6.652333333333334,-0.5879752034510091,-0.5436942954675117,-0.09412566666666589
Germany,93.80842289442259,6.572111,False,125.76991689414717,6.8814666666666655,31.96149399972458,34.071027966961864,0.3093556666666659
Ireland,93.78410048422965,7.284488,True,118.33186739683441,6.929866666666666,24.547766912604757,26.17476393744653,-0.35462133333333323
Italy,118.11449204020076,6.578179,False,90.37417479910499,6.398233333333334,-27.740317241095767,-23.485955670582936,-0.17994566666666678
Japan,97.7225855862969,6.059098,False,112.26898698521408,6.0759,14.546401398917183,14.88540372897884,0.016802000000000206
New Zealand,79.29863654318598,7.372486,True,126.71136286354299,7.1173,47.41272632035701,59.79009020481212,-0.25518600000000013
Norway,99.59269177458228,7.524001,False,113.72438881684292,7.327433333333334,14.13169704226064,14.189492010363836,-0.1965676666666658
Portugal,104.00790925915075,5.327314,False,145.8956169175466,6.0046333333333335,41.88770765839584,40.27357915062648,0.6773193333333332
South Korea,114.854569526504,5.643442,False,90.37886738852309,5.981366666666666,-24.475702137980903,-21.310168362376615,0.337924666666666
Spain,123.830920402077,6.761248,False,115.97866826366976,6.444466666666667,-7.852252138407238,-6.34110778867758,-0.31678133333333314
Sweden,83.80586154621835,7.379463,False,107.22075549056994,7.374533333333333,23.41489394435159,27.939446611903684,-0.004929666666667387
Switzerland,88.84872898505027,7.498953,False,122.11360798326318,7.2706333333333335,33.26487899821291,37.439904181195516,-0.2283196666666667
United Kingdom,97.82868781821497,6.936396,True,114.58423436668575,6.829033333333332,16.755546548470775,17.12743666725438,-0.10736266666666783
United States,91.43006278115313,7.270243,True,125.18687968019451,6.865100000000001,33.75681689904138,36.92091624156668,-0.4051429999999989
