country,pti_change,pti_level,pure_residual,happiness,explained,anglo
Australia,25.10296819347093,118.91695129610582,-0.07499999999999996,6.916,5.832,True
Austria,21.05283484900903,117.58111056149589,-0.10299999999999998,6.845,5.789000000000001,False
Belgium,-3.473037100621198,96.13873578383289,-0.08599999999999985,6.926,5.852,False
Bulgaria,-10.035565430571893,91.57495359347477,-0.22499999999999987,5.703,4.768000000000001,False
Canada,37.090244161916544,134.77979503602293,-0.23699999999999988,6.741,5.819,True
Chile,20.839839849691444,114.33422088130442,0.09400000000000008,6.302,5.0489999999999995,False
Colombia,-11.564653813631296,87.44000505088752,0.28100000000000014,6.04,4.598,False
Croatia,-3.6678530069246307,98.52858977658605,-0.07599999999999985,6.009,4.925,False
Czechia,22.843714849996616,122.52705594941919,0.2450000000000001,6.821,5.415,False
Denmark,5.741459319858521,103.08041772033096,0.15000000000000013,7.539,6.228999999999999,False
Estonia,12.751506959922963,110.11196621896158,-0.31799999999999995,6.41,5.5680000000000005,False
Finland,-19.856472060486098,81.36215346667161,0.42200000000000015,7.764,6.180999999999999,False
France,-6.455090296849846,96.28812976166472,-0.026999999999999913,6.586,5.452,False
Germany,11.616375177876222,109.85747472653951,-0.03200000000000003,6.882,5.756,False
Greece,7.301222039524248,115.54326393044833,0.12200000000000011,5.697,4.4159999999999995,False
Hungary,22.252225294747234,117.34740498471103,-0.24399999999999988,5.937,5.021,False
Ireland,25.79428668143302,117.38848013229334,-0.43999999999999995,6.928,6.207999999999999,True
Italy,-18.729866069128065,86.94933595227441,0.2470000000000001,6.574,5.167000000000001,False
Japan,15.227151367825968,114.31073707498824,-0.43799999999999994,6.13,5.409000000000001,False
Latvia,2.357435023492968,109.17332991675148,0.14500000000000002,6.365,5.059,False
Lithuania,12.282055943340765,111.94102225730109,0.41900000000000004,6.704,5.1240000000000006,False
Luxembourg,29.56825550526014,124.90825790469393,-0.2529999999999999,7.063,6.156999999999999,False
Netherlands,30.2467040827524,130.24242640815513,0.09499999999999997,7.223,5.968,False
New Zealand,16.60853412185749,109.76331046498615,-0.15700000000000003,6.995,5.991,True
Norway,4.640755705074184,105.34510273491259,-0.2469999999999999,7.242,6.327999999999999,False
Poland,-2.3603828081646725,100.10100542633445,0.44000000000000017,6.768,5.167999999999999,False
Portugal,53.45224891183567,152.94241532613867,-0.43599999999999994,6.029,5.306,False
Republic of Korea,-24.726508593535286,78.56329460481506,-0.34799999999999986,6.04,5.227,False
Romania,-49.794540918726135,56.114914892280034,0.7810000000000001,6.629,4.688000000000001,False
Slovakia,5.8644483380004,106.33073213926332,0.1180000000000001,6.255,4.977,False
Slovenia,15.688286473166514,118.91741881758988,0.017000000000000126,6.868,5.692,False
South Africa,-9.877665270612837,90.8930998382545,0.016000000000000014,5.009,3.833,False
Spain,16.967710461362714,117.43787585515723,-0.21399999999999997,6.54,5.595,False
Sweden,4.176159155498112,95.82278998404365,-0.119,7.255,6.213,False
Switzerland,23.31723596598846,121.55428900733865,-0.35599999999999987,7.018,6.214,False
United Kingdom,9.20837090583413,107.0004160623164,-0.1519999999999999,6.694,5.686,True
United States,29.043150984926527,127.57058779337241,0.3740000000000001,6.816,5.282,True
