country,x,y,anglophone
Australia,29.27294718008808,-0.4289999999999994,True
Austria,35.661106796851584,-0.38200000000000056,False
Belgium,-0.8125783473543748,-0.18700000000000028,False
Bulgaria,-36.7257565092073,1.8140000000000005,False
Canada,43.932182371599666,-0.758,True
Chile,28.14500300743454,0.1739999999999995,False
Colombia,-5.7600950726034625,-0.16199999999999992,False
Croatia,-15.663273196971957,0.3860000000000001,False
Czechia,17.221997367236526,0.4609999999999994,False
Denmark,3.8668903018286755,-0.31700000000000017,False
Estonia,22.995709060720756,1.08,False
Finland,-20.707053623705278,0.1850000000000005,False
France,-7.981539927037275,-0.16000000000000014,False
Germany,15.849263765544876,0.3099999999999996,False
Greece,-0.9111720236609955,-0.43599999999999994,False
Hungary,1.0301123927162052,0.9940000000000007,False
Ireland,7.607592859148369,-0.35599999999999987,True
Italy,-31.576363818700756,-0.004000000000000448,False
Japan,17.175533870165438,0.07099999999999973,False
Latvia,0.5576222610607289,1.6030000000000006,False
Lithuania,-0.19623747690049242,1.1159999999999997,False
Luxembourg,37.672798189552864,0.011999999999999567,False
Netherlands,10.83881326567247,-0.2889999999999997,False
New Zealand,27.39508192926189,-0.3769999999999998,True
Norway,8.244019734728838,-0.28200000000000003,False
Poland,-30.51317225918173,0.9649999999999999,False
Portugal,46.78568165249119,0.702,False
Republic of Korea,-37.93508549603551,0.39700000000000024,False
Romania,-96.63046635198037,1.4509999999999996,False
Slovakia,-4.305027182227661,0.5979999999999999,False
Slovenia,-0.1337032252337167,0.9460000000000006,False
South Africa,-15.966745269164576,-0.09199999999999964,False
Spain,-14.519255975507846,-0.22100000000000009,False
Sweden,12.338726047798687,-0.12399999999999967,False
Switzerland,32.77340587530932,-0.48099999999999987,False
United Kingdom,9.407862622274848,-0.242,True
United States,28.64892897218553,-0.45399999999999974,True
