country,pti_change,hap_change,anglophone
Australia,30.5075123782549,-0.4289999999999994,True
Austria,35.50755612176113,-0.38200000000000056,False
Belgium,0.963291279607219,-0.18700000000000028,False
Canada,45.176965836972,-0.758,True
Denmark,4.247115156233036,-0.31700000000000017,False
Finland,-20.41848897008765,0.1850000000000005,False
France,-8.014039425539053,-0.16000000000000014,False
Germany,16.10799185948804,0.3099999999999996,False
Ireland,7.241779923198038,-0.35599999999999987,True
Italy,-31.741388982407003,-0.004000000000000448,False
Japan,18.367278014799112,0.07099999999999973,False
New Zealand,27.009419643229236,-0.3769999999999998,True
Norway,13.800991449062423,-0.28200000000000003,False
Portugal,45.77720272977399,0.702,False
South Korea,-38.12895383406638,0.39700000000000024,False
Spain,-14.908266296948767,-0.22100000000000009,False
Sweden,13.063799057121486,-0.12399999999999967,False
Switzerland,41.411195206946616,-0.48099999999999987,False
United Kingdom,9.716421419871068,-0.242,True
United States,29.079713501705797,-0.45399999999999974,True
