year,MET2013,n_unweighted,n_movers_unweighted,mover_rate,mover_avg_bedrooms,mover_avg_rooms,mover_median_burden,nonmover_median_burden,mover_avg_trantime,CBSA_Name,zori_name
2022,10420,643,147,25.28448286027617,2.990579237011473,4.394879209029009,31.367781155015194,28.5995085995086,21.211695818632236,"Akron, OH","Akron, OH"
2022,10540,139,29,24.75135171216875,3.1817691477885655,4.374325782092773,34.16856492027335,37.86252771618625,26.902939804013066,"Albany, OR","Albany, OR"
2022,10580,1079,262,27.607915066917442,2.8627329542255504,4.183914194020607,31.862068965517242,30.48,24.863626502364735,"Albany-Schenectady-Troy, NY","Albany, NY"
2022,10740,712,162,22.52517143658539,2.8416849156254025,4.282279187599296,39.839999999999996,33.506493506493506,22.138918345705196,"Albuquerque, NM","Albuquerque, NM"
2022,10900,650,107,17.196064723345188,2.6577893000235684,4.15549139759604,31.636363636363633,32.0,19.044707049004213,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA"
2022,11100,302,56,18.65391945114979,2.9586242124978717,4.104035416311936,32.4,31.57894736842105,24.26602086438152,"Amarillo, TX","Amarillo, TX"
2022,11260,280,68,21.90548635542455,3.0072054865873774,4.112075701015713,29.793103448275858,27.243243243243242,20.9046565774156,"Anchorage, AK","Anchorage, AK"
2022,11460,378,122,37.415125686217856,3.258217095419663,4.646749360490372,38.14502529510961,29.493558418480674,21.959315375982044,"Ann Arbor, MI","Ann Arbor, MI"
2022,11700,510,86,14.740908768696393,3.0182736234671794,4.336619379658572,31.675213675213676,28.223350253807105,24.042264344262296,"Asheville, NC","Asheville, NC"
2022,12060,5076,1137,21.88309110663332,3.017782157585192,4.415912928312735,34.65,30.671641791044774,27.023028691656286,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA"
2022,12100,196,23,11.995415308571223,2.77246939384891,3.7990444908928036,25.643835616438356,35.76,29.992010092514718,"Atlantic City-Hammonton, NJ","Atlantic City, NJ"
2022,12260,466,130,27.167190868289925,3.330731707317073,4.66959349593496,32.28292682926829,28.13793103448276,23.713309647444657,"Augusta-Richmond County, GA-SC","Augusta, GA"
2022,12420,2682,888,33.58376857163733,2.800955760444721,3.736693248910328,30.08823529411765,28.363636363636363,21.533437602482277,"Austin-Round Rock, TX","Austin, TX"
2022,12540,915,100,11.536209436742094,3.140319279574294,4.131068358575522,38.473846153846154,34.10526315789474,18.62263731376473,"Bakersfield, CA","Bakersfield, CA"
2022,12580,2617,571,21.5679011625533,2.8669082746216987,4.248387402128494,34.53488372093023,30.0,27.622240733027905,"Baltimore-Columbia-Towson, MD","Baltimore, MD"
2022,12620,127,24,20.44160309444504,3.0218134034165574,4.286990801576873,36.83168316831683,27.6,11.191225560324273,"Bangor, ME","Bangor, ME"
2022,12700,152,22,15.830254515599343,2.647325769854133,3.792220421393841,32.0,32.19512195121951,20.312122874382887,"Barnstable Town, MA","Barnstable Town, MA"
2022,12940,556,142,28.188154071355225,3.1091303673849016,4.218183227406604,32.0668969278313,31.21860465116279,20.101364522417153,"Baton Rouge, LA","Baton Rouge, LA"
2022,13140,279,55,18.91440035666518,3.2420742486741307,4.728933411903359,35.52870090634441,30.909090909090907,25.786233722306783,"Beaumont-Port Arthur, TX","Beaumont, TX"
2022,13380,264,65,27.04907624912704,2.661190001173571,3.561788522473888,44.608695652173914,30.627615062761503,18.51915285451197,"Bellingham, WA","Bellingham, WA"
2022,13820,864,196,24.475801029810725,2.9680723864921634,4.380287607044757,38.2,31.401869158878505,23.42907171983689,"Birmingham-Hoover, AL","Birmingham, AL"
2022,13980,239,74,31.42217552195167,3.204856062808956,4.435155568479209,42.53968253968254,27.056603773584904,14.358379148849522,"Blacksburg-Christiansburg-Radford, VA","Blacksburg, VA"
2022,14010,179,52,31.4480602529487,3.087663804789878,3.9439674649796657,31.480000000000004,27.504761904761903,15.325593952483802,"Bloomington, IL","Bloomington, IL"
2022,14020,167,58,35.13658275307981,3.063044425087108,4.043771777003484,59.81818181818181,26.304950495049507,22.6734865470852,"Bloomington, IN","Bloomington, IN"
2022,14260,657,169,29.49812307196749,3.449055018899622,4.674128517429652,33.33333333333333,30.930000000000003,19.64316538371822,"Boise City, ID","Boise City, ID"
2022,14460,6291,1557,23.446942598742353,2.7445373761597502,3.814404349916599,32.92270531400966,30.73170731707317,29.289377467947155,"Boston-Cambridge-Newton, MA-NH","Boston, MA"
