MET2013,mover_rate_2022,mover_rate_2024,delta_mover_rate,mover_avg_bed_2022,mover_avg_bed_2024,delta_mover_avg_bed,mover_avg_rooms_2022,mover_avg_rooms_2024,delta_mover_avg_rooms,mover_burden_2022,mover_burden_2024,delta_mover_burden,nonmover_burden_2022,nonmover_burden_2024,delta_nonmover_burden,mover_trantime_2022,mover_trantime_2024,delta_mover_trantime,n_2022,n_2024,n_movers_2022,n_movers_2024,min_n,CBSA_Name,zori_name,RegionID,zori_pct_change_2022_2024,zori_2022,zori_2024
12420,33.58376857163733,32.9325644003976,-0.6512041712397263,2.800955760444721,2.7013482574408547,-0.09960750300386634,3.736693248910328,3.637654953350705,-0.09903829555962318,30.08823529411765,31.207100591715975,1.118865297598326,28.363636363636363,28.64651162790698,0.28287526427061493,21.533437602482277,24.52916511367872,2.995727511196442,2682,2660,888,840,2660,"Austin-Round Rock, TX","Austin, TX",394355,-4.626441215885191,1733.4820818250455,1653.283552321507
41700,30.209602396497615,33.57352051104794,3.363918114550323,2.817497033207957,2.9953179600659587,0.17782092685800155,4.0425106100529,4.099484804729886,0.056974194676985945,32.232,33.609022556390975,1.3770225563909761,32.668463611859835,31.480000000000004,-1.1884636118598308,24.613044067388326,24.045761394817998,-0.5672826725703288,2248,2209,627,629,2209,"San Antonio-New Braunfels, TX","San Antonio, TX",395055,0.10989039272431321,1418.2261103331493,1419.7846045755132
38060,27.017374208406263,29.66318398468625,2.645809776279986,2.8850720209515495,2.8905877584110256,0.005515737459476089,4.01179771777764,3.9983461694365627,-0.013451548341076869,33.575129533678755,32.235955056179776,-1.3391744774989789,30.644501278772378,30.959999999999997,0.3154987212276197,24.695529448408102,25.57351955842001,0.8779901100119076,4514,4579,1193,1274,4514,"Phoenix-Mesa-Scottsdale, AZ","Phoenix, AZ",394976,0.5239456193290515,1733.0115829389933,1742.0916212102672
29820,21.60780165328004,25.587254374233503,3.9794527209534643,3.0668303068932317,2.9775315014422348,-0.08929880545099689,4.3508591111894654,4.121375436465766,-0.22948367472369924,37.333333333333336,37.54,0.20666666666666345,33.13978494623656,34.511111111111106,1.3713261648745458,24.919302864777773,24.839313301741047,-0.079989563036726,2776,2826,585,664,2776,"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV",394775,1.3621145340153717,1689.8716566001349,1712.8896440408917
19100,26.383642283544777,28.508562971562245,2.1249206880174683,2.7339411306821706,2.77586164601987,0.04192051533769936,3.83516797663413,3.9184471973506683,0.08327922071653848,33.61714285714286,32.579505300353354,-1.0376375567895053,30.94736842105263,30.36734693877551,-0.5800214822771217,25.054485602936168,26.554057547463294,1.4995719445271263,8311,7830,2159,2141,7830,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",394514,1.4803177900662523,1619.991080519527,1643.972096681944
12060,21.88309110663332,27.47104720153076,5.587956094897439,3.017782157585192,3.0667969721045627,0.04901481451937073,4.415912928312735,4.375630608454906,-0.0402823198578286,34.65,33.21362229102167,-1.436377708978327,30.671641791044774,31.554030874785592,0.8823890837408186,27.023028691656286,29.53121590682094,2.5081872151646536,5076,5292,1137,1385,5076,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",394347,2.297838485214819,1734.4188577552388,1774.273001763562
41860,21.382291788182172,20.552614804755702,-0.8296769834264701,2.672755630580035,2.6149509426208457,-0.05780468795918914,3.6131282854410434,3.5945253505933117,-0.018602934847731678,29.80118946474087,28.57142857142857,-1.2297608933122994,28.799999999999997,28.560000000000002,-0.23999999999999488,31.160450948015715,30.65873387504017,-0.5017170729755449,6587,6702,1370,1302,6587,"San Francisco-Oakland-Hayward, CA","San Francisco, CA",395057,2.3423818482991066,2798.5764226634055,2864.1297687986516
14260,29.49812307196749,32.87787555967269,3.379752487705197,3.449055018899622,3.094254184416194,-0.3548008344834277,4.674128517429652,4.2340589675644855,-0.4400695498651661,33.33333333333333,31.24600638977636,-2.0873269435569703,30.930000000000003,28.555555555555557,-2.374444444444446,19.64316538371822,22.526450093237806,2.883284709519586,657,715,169,215,657,"Boise City, ID","Boise City, ID",394399,2.444904584300347,1651.1565709780687,1691.5257736758879
34980,31.77231340254016,27.693835085476483,-4.078478317063677,2.8658620060235465,2.912930314786623,0.04706830876307633,4.127612485169299,3.981007218975593,-0.1466052661937054,33.28335832083958,32.89389067524115,-0.3894676455984296,29.13267326732673,29.695431472081218,0.5627582047544877,24.797138004674704,26.094944923875676,1.2978069192009727,1874,1931,561,538,1874,"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville, TN",394902,2.5631566757257267,1730.190918355408,1774.538422382035
41620,28.969927315097376,28.885044069156606,-0.08488324594076957,3.004141728513287,2.76604887364903,-0.23809285486425713,4.122097198946612,3.7156777637918315,-0.40641943515478074,33.2093023255814,32.39368510880387,-0.8156172167775253,27.0,28.499999999999996,1.4999999999999964,25.082472311008697,22.492869080779943,-2.5896032302287537,1013,1042,283,292,1013,"Salt Lake City, UT","Salt Lake City, UT",395053,2.7128299965907363,1564.7393226071106,1607.188040319247
