Year,TOTAL,Mexico,India,Hong Kong,Philippines,Cuba,El Salvador,Vietnam,Guatemala,Dominican Republic,Colombia,Korea,Honduras,Venezuela,Jamaica,Haiti,Canada,Brazil,Ecuador,Peru,Nigeria,Ukraine,Russia,Iran,Pakistan,Taiwan,Nicaragua,Poland,Bangladesh,Japan,United Kingdom,Ethiopia,Guyana,Afghanistan,Egypt,Iraq,Ghana,Argentina,Nepal,Turkey,Kenya,Burma,Syria,Somalia,Uzbekistan,China (excl HK/Taiwan)
2018,44728502.0,11171893.0,2652853.0,2221943.0,2013756.0,1343960.0,1419330.0,1345753.0,1006987.0,37093.0,789561.0,1039099.0,646253.0,393841.0,733429.0,687186.0,813664.0,472637.0,443105.0,467172.0,374711.0,325885.0,383305.0,381951.0,379103.0,390150.0,262077.0,398786.0,261052.0,361565.0,699193.0,278083.0,280297.0,113669.0,207579.0,237422.0,195371.0,194421.0,148634.0,126494.0,146560.0,140391.0,111766.0,103377.0,68512.0,2845341.0
2019,44932799.0,10931939.0,2688075.0,2250230.0,2045248.0,1359990.0,1412101.0,1383779.0,1111495.0,36372.0,808148.0,1038885.0,745838.0,465235.0,772215.0,701688.0,797158.0,502104.0,431150.0,446063.0,392811.0,354832.0,392422.0,385473.0,398399.0,371851.0,257343.0,404107.0,261348.0,333273.0,335503.0,256032.0,253847.0,132160.0,205852.0,249670.0,199163.0,210767.0,166651.0,117291.0,153414.0,150877.0,92514.0,114607.0,65126.0,
2021,45269644.0,10697374.0,2709199.0,2132122.0,1982434.0,1278627.0,1418147.0,1338538.0,1106523.0,30395.0,854921.0,1011589.0,767573.0,545234.0,796290.0,696982.0,778497.0,569325.0,481238.0,452207.0,443181.0,398040.0,425429.0,397735.0,398363.0,374103.0,256696.0,412797.0,286320.0,345668.0,307460.0,271847.0,289870.0,123655.0,219749.0,227643.0,197205.0,188359.0,174239.0,140494.0,154062.0,173480.0,106608.0,97695.0,68637.0,
2022,46182089.0,10678502.0,2839618.0,2217894.0,1982333.0,1312510.0,1407622.0,1331192.0,1148543.0,1279900.0,928053.0,1045100.0,843774.0,667664.0,804775.0,730780.0,821322.0,618525.0,518287.0,471988.0,448405.0,427163.0,398123.0,407283.0,399086.0,377949.0,295280.0,374056.0,294277.0,330096.0,308610.0,293083.0,286951.0,194742.0,229204.0,222806.0,215333.0,196427.0,191213.0,151451.0,168915.0,159254.0,109604.0,100105.0,71226.0,
2023,47831053.0,10918205.0,2910042.0,2193250.0,2051900.0,1450808.0,1494869.0,1365841.0,1250053.0,1265231.0,1049821.0,1017250.0,934617.0,769664.0,817294.0,777845.0,828396.0,707052.0,539546.0,529682.0,476008.0,468780.0,415809.0,419885.0,428795.0,392012.0,377152.0,382844.0,333026.0,337877.0,311722.0,278182.0,278215.0,218612.0,225665.0,215693.0,241477.0,216190.0,179930.0,156956.0,174734.0,159647.0,110697.0,92401.0,74967.0,
2024,50234841.0,11143711.0,3162885.0,2380223.0,2157523.0,1688798.0,1539716.0,1395775.0,1365684.0,1299961.0,1153648.0,1087657.0,993829.0,987647.0,888406.0,858650.0,823843.0,725419.0,621915.0,535912.0,532602.0,510016.0,424059.0,420227.0,418535.0,400369.0,392764.0,390226.0,353701.0,342968.0,330823.0,304073.0,273423.0,233938.0,225321.0,224492.0,222781.0,210909.0,208406.0,184010.0,181766.0,157626.0,121907.0,98079.0,81552.0,
